,sentence,events
10," ,The government passed a law to provide tax incentives for businesses that invest in research and development in the field of artificial intelligence. ,The government passed a law to provide tax credits for businesses that hire workers from disadvantaged backgrounds. ,The government passed a law to provide tax incentives for businesses that invest in clean energy technologies. ,The government passed a law to provide tax credits for businesses that provide employee health benefits. ,The government passed a law to provide tax incentives for businesses that invest in green technology. ,The government passed a law to provide tax credits for businesses that hire people with disabilities. ,The government passed a law to provide tax incentives for businesses that invest in infrastructure projects. ,The government passed a law to provide tax credits for businesses that create jobs in rural areas. ,The government passed a law to provide tax incentives for businesses that invest in renewable energy sources.","

(passed,provide)
(hire,workers)
(invest,clean)
(provide,employee)
(invest,green)
(hire,disabilities)
(invest,infrastructure)
(create,rural)
(invest,renewable)"
11,The government introduced a new law to protect the environment and reduce pollution.,"

(introduced)(protect)"
12," ,The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible. ,The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality. ,The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment. ,The government has passed a law to increase the availability of healthcare services, in an effort to improve public health. ,The government has implemented a new policy to reduce the cost of prescription drugs, in an effort to make healthcare more affordable.","

(implemented, reduce)
(passed, protect)
(introduced, provide)
(passed, increase)
(implemented, reduce)"
13,"The United Nations adopted the Paris Agreement, a global climate change agreement, in an effort to reduce global emissions.","

(adopted)(reduce)"
14," ,The government passed a law to increase access to education in an effort to reduce illiteracy. ,The government passed a law to increase access to healthcare in an effort to reduce infant mortality. ,The government passed a law to increase access to legal services in an effort to reduce discrimination. ,The government passed a law to increase access to technology in an effort to increase economic growth.","

passed (trigger1) increase (trigger2)
reduce (trigger1) access (trigger2)
reduce (trigger1) healthcare (trigger2)
reduce (trigger1) legal (trigger2)
increase (trigger1) technology (trigger2)"
15,The government passed a law to protect the rights of immigrants and ensure their access to services.,"

Trigger1: passed
Trigger2: protect"
16," ,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy. ,The United Nations passed a resolution calling for an end to the conflict in the Middle East. ,The Supreme Court ruled that same-sex marriage is a constitutional right. ,The Senate passed a bill to increase funding for public education. ,The House of Representatives passed a bill to provide tax relief for small businesses. ,The president signed an executive order to protect the environment from pollution. ,The government announced a new policy to reduce carbon emissions.","

(Tax, Reduce)
(Resolution, End)
(Ruled, Marriage)
(Funding, Increase)
(Tax, Relief)
(Order, Protect)
(Policy, Reduce)"
17," ,The government passed a new law to protect the rights of immigrants in an effort to promote diversity. ,The government passed a new law to protect the rights of women in an effort to promote gender equality. ,The government passed a new law to protect the rights of LGBTQ+ individuals in an effort to promote acceptance. ,The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion. ,The government passed a new law to protect the rights of children in an effort to promote their welfare. ,The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.","

(passed, protect)
(passed, promote)
(passed, promote)
(passed, promote)
(passed, promote)
(passed, ensure)"
18,The government implemented a new policy to encourage foreign direct investment in the country. ,"

Trigger1: implemented
Trigger2: encourage"
19," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and inequality. ,The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities. ,The government has passed a law to increase access to education, in an effort to reduce educational disparities and promote economic growth. ,The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions. ,The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.","

(passed, increase)
(passed, improve)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
20,The government launched a campaign to promote economic growth and development in rural areas. ,"

Trigger1: launched
Trigger2: promote"
21," ,The government passed a law to protect the rights of indigenous people and ensure their access to services. ,The government passed a law to protect the rights of religious minorities and ensure their access to services. ,The government passed a law to protect the rights of victims of human trafficking and ensure their access to services.","

(passed, protect)
(passed, ensure)
(passed, protect)
(passed, ensure)"
22,It also was considering a restructuring to help boost the stock price.,"

Trigger1: (restructuring)
Trigger2: (boost)"
23,"The message to the chief of staff was meant to be taken as a suggestion that Sununu offer to resign, one highly placed source said.","

Trigger1: suggest
Trigger2: resign"
24,"The government passed a law to increase access to legal services, in an effort to reduce discrimination.","

Trigger1: passed
Trigger2: reduce"
25,The government passed a law to protect the rights of victims of religious discrimination and ensure their access to services.,"

Trigger1: passed
Trigger2: protect"
26," ,The government passed a law to increase access to healthcare and reduce the cost of medical care.","

Trigger1: passed
Trigger2: reduce"
27," ,The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services. ,The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional knowledge. ,The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice. ,The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities. ,The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.","

(introducing, protect)
(introducing, promote)
(introducing, ensure)
(introducing, ensure)
(introducing, promote)"
28," ,The government passed a law to protect the rights of refugees and promote their integration into society. ,The government passed a law to protect the rights of religious minorities and promote religious tolerance. ,The government passed a law to protect the rights of LGBTQ+ individuals and promote equality. ,The government passed a law to protect the rights of victims of human trafficking and promote their rehabilitation. ,The government passed a law to protect the rights of victims of domestic violence and promote their safety. ,The government passed a law to protect the rights of victims of hate crimes and promote justice.","

(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)"
29,The government passed a law to protect the rights of victims of domestic violence and ensure their access to services.,"

Trigger1: passed
Trigger2: protect"
30,The government introduced a new program to provide incentives for businesses to invest in green technology.,"

Trigger1: introduced
Trigger2: invest"
31," ,The government passed a law to increase access to public transportation in an effort to reduce air pollution. ,The government passed a law to increase access to affordable housing in an effort to reduce homelessness. ,The government passed a law to increase access to financial services in an effort to reduce poverty.","

(passed, increase)
(passed, reduce)
(passed, reduce)"
32," ,The government passed a law to increase the availability of affordable housing and reduce homelessness. ,The government passed a law to increase access to mental health services and reduce stigma. ,The government passed a law to increase access to clean water and reduce water pollution. ,The government passed a law to increase access to public transportation and reduce traffic congestion. ,The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels. ,The government passed a law to increase access to financial services and reduce financial exclusion. ,The government passed a law to increase access to broadband internet and reduce the digital divide. ,The government passed a law to increase access to job training and reduce unemployment. ,The government passed a law to increase access to healthy food and reduce food insecurity.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
33," ,The United Nations passed a resolution to impose economic sanctions on North Korea in an effort to pressure the government to end its nuclear weapons program. ,The United States passed a law to impose sanctions on Russia in an effort to pressure the government to end its interference in Ukraine. ,The United Nations passed a resolution to impose an arms embargo on Syria in an effort to pressure the government to end its civil war. ,The United States passed a law to impose sanctions on Venezuela in an effort to pressure the government to end its human rights abuses. ,The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war. ,The United States passed a law to impose sanctions on Iran in an effort to pressure the government to end its nuclear weapons program.","

(passed, impose)
(passed, pressure)
(passed, embargo)
(passed, sanctions)
(passed, embargo)
(passed, sanctions)"
34," ,The government introduced a new program to provide incentives for businesses to hire more workers. ,The government introduced a new program to provide incentives for businesses to invest in renewable energy sources. ,The government introduced a new program to provide incentives for businesses to invest in green technology. ,The government introduced a new program to provide incentives for businesses to invest in infrastructure projects. ,The government launched a new initiative to promote economic growth and job creation. ,The government launched a new initiative to promote environmental sustainability. ,The government launched a new initiative to promote gender equality. ,The government launched a new initiative to promote access to education. ,The government launched a new initiative to promote access to healthcare.","

(introduced, hire)
(introduced, invest)
(introduced, invest)
(introduced, invest)
(launched, growth)
(launched, sustainability)
(launched, equality)
(launched, education)
(launched, healthcare)"
35,The government passed a law to increase access to clean water in an effort to reduce water-borne illnesses.,"

(passed, increase)
(reduce, illnesses)"
36," ,The government passed a law to increase access to education in an effort to reduce illiteracy. ,The government passed a law to increase access to healthcare in an effort to reduce infant mortality. ,The government passed a law to increase access to childcare in an effort to reduce child poverty.","

(passed, increase)
(passed, reduce)
(passed, reduce)"
37," ,The government passed a law to increase access to financial literacy programs in an effort to promote economic stability. ,The government passed a law to increase access to mental health services in an effort to reduce stigma and improve public health. ,The government passed a law to increase access to educational opportunities in an effort to reduce inequality and promote social mobility. ,The government passed a law to increase access to affordable housing in an effort to reduce homelessness and improve living conditions. ,The government passed a law to increase access to public transportation in an effort to reduce traffic congestion and improve air quality. ,The government passed a law to increase access to clean energy sources in an effort to reduce greenhouse gas emissions and combat climate change.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
38,The government passed a law to protect the rights of victims of racial discrimination and ensure their access to services.,"

(passed, protect)"
39,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait.,"

Trigger1: voted
Trigger2: impose"
40," ,The president signed a bill to increase funding for veterans' healthcare. ,The government has implemented a new policy to provide financial incentives to companies that invest in renewable energy sources. ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and inequality. ,The government has introduced a new policy to provide free healthcare to all citizens. ,The government has passed a law to protect the rights of immigrants, in an effort to ensure equal access to services and opportunities.","

Sign (trigger1) Increase (trigger2)
Implement (trigger1) Provide (trigger2)
Pass (trigger1) Reduce (trigger2)
Introduce (trigger1) Provide (trigger2)
Pass (trigger1) Protect (trigger2)"
41,The United States imposed a series of economic sanctions on Russia in response to its annexation of Crimea.,"

Trigger1: imposed
Trigger2: annexation"
42," ,The government passed a law to increase the minimum wage in an effort to reduce poverty. ,The government passed a law to provide incentives for businesses to invest in renewable energy sources. ,The government passed a law to increase funding for public education in an effort to improve educational outcomes. ,The government passed a law to provide tax incentives for businesses that invest in research and development. ,The government passed a law to provide tax credits for businesses that hire veterans.","

(passed, increase)
(passed, provide)
(passed, increase)
(passed, provide)
(passed, provide)"
43,"The government passed a tax cut to stimulate economic growth.,The government introduced a new policy to reduce poverty.,The government implemented a new program to improve public health.,The government launched a campaign to reduce crime.,The government introduced a new law to protect the environment.,The government implemented a new policy to improve education.,The government passed a law to increase access to affordable housing.,The government introduced a new program to promote job creation.,The government implemented a new policy to reduce inequality.,The government launched a campaign to increase access to healthcare.","

(passed, stimulate)
(introduced, reduce)
(implemented, improve)
(launched, reduce)
(introduced, protect)
(implemented, improve)
(passed, increase)
(introduced, promote)
(implemented, reduce)
(launched, increase)"
44," ,The government passed a law to increase the minimum wage in order to improve the standard of living for low-income workers. ,The government introduced a new tax incentive program to encourage businesses to invest in renewable energy sources. ,The government passed a law to reduce carbon emissions in order to combat climate change. ,The government implemented a new program to provide free education to all children in the country. ,The government passed a law to protect the rights of workers and ensure fair wages and working conditions.","

(passed, increase)
(introduced, encourage)
(reduce, combat)
(implemented, provide)
(passed, protect)"
45,The government implemented a new policy to reduce the cost of energy and make it more affordable for consumers.,"

Trigger1: implemented
Trigger2: reduce"
46," ,The government passed a law to protect the rights of immigrants and ensure access to basic services. ,The government passed a law to protect the rights of the disabled and ensure access to necessary services. ,The government passed a law to protect the rights of the LGBTQ+ community and ensure equal rights and protections. ,The government passed a law to protect the rights of religious minorities and ensure freedom of religion.","

(passed, protect)
(passed, ensure)
(passed, ensure)
(passed, ensure)"
47," The intention was to increase shareholder value. ,The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness and improve living standards. ,The government has implemented a new policy to provide financial assistance to small businesses, in an effort to promote economic growth and job creation. ,The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and improve air quality. ,The government has implemented a new policy to provide tax incentives to businesses that invest in research and development, in an effort to promote innovation and economic growth. ,The government has passed a new law to increase the availability of renewable energy sources, in an effort to reduce air pollution and conserve natural resources.","

Increase (trigger1) and reduce (trigger2)
Establish (trigger1) and promote (trigger2)
Provide (trigger1) and improve (trigger2)
Provide (trigger1) and reduce (trigger2)
Incentivize (trigger1) and promote (trigger2)
Increase (trigger1) and conserve (trigger2)"
48,The government passed a law to protect the rights of workers and ensure their access to fair wages and safe working conditions.,"

(passed)(protect)"
49,The European Union imposed a ban on the import of Iranian oil in an effort to pressure the Iranian government to end its nuclear program.,"

Trigger1: imposed
Trigger2: pressure"
50,The government passed a law to increase funding for education in an effort to improve educational outcomes.,"

(passed, increase)"
51,"Pentagon sources in Washington meanwhile said the Bushadministration plans to deploy 45,000 Marines to the region to backup the thousands of Army, Navy and Air Force troops already inplace in the gulf and the Saudi desert.","

Trigger1: deploy (Pentagon sources in Washington meanwhile said the Bushadministration plans to deploy 45,000 Marines to the region)
Trigger2: backup (to backup the thousands of Army, Navy and Air Force troops already inplace in the gulf and the Saudi desert.)"
52," ,The government passed a law to protect the environment and reduce pollution.,The government passed a law to protect the rights of minorities and ensure equal access to education.","

(passed, protect)
(reduce, pollution)
(rights, ensure)"
53," ,The government passed a law to increase access to healthcare in an effort to improve public health. ,The government passed a law to increase access to education in an effort to reduce inequality. ,The government passed a law to protect the environment in an effort to reduce pollution. ,The government passed a law to increase access to public transportation in an effort to reduce traffic congestion.","

(passed, increase)
(passed, reduce)
(passed, protect)
(passed, increase)"
54,The government launched a new initiative to promote access to education.,"

Trigger1: launched
Trigger2: promote"
55," ,The government is introducing a new tax to fund public health initiatives and improve access to healthcare.","

Trigger1: introducing
Trigger2: fund"
56," ,The government passed a law to increase access to public transportation, in an effort to reduce traffic congestion. ,The government passed a law to increase access to affordable housing, in an effort to reduce homelessness. ,The government passed a law to increase access to job training programs, in an effort to reduce unemployment. ,The government passed a law to increase access to childcare, in an effort to support working families.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, support)"
57," ,The government passed a law to increase access to education in an effort to reduce illiteracy. ,The government passed a law to increase access to healthcare in an effort to reduce mortality rates. ,The government passed a law to increase access to job training in an effort to reduce unemployment. ,The government passed a law to increase access to legal services in an effort to reduce discrimination.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
58," ,The government passed a law to increase the minimum wage in an effort to reduce poverty. ,The government implemented a new policy to promote renewable energy sources. ,The government launched a campaign to raise awareness of climate change. ,The government introduced a new law to protect workers' rights. ,The government implemented a new policy to improve access to healthcare. ,The government passed a law to increase access to affordable childcare. ,The government launched a campaign to reduce discrimination in the workplace.","

(passed, increase)
(implemented, promote)
(launched, raise)
(introduced, protect)
(implemented, improve)
(passed, increase)
(launched, reduce)"
59,The government passed a law to protect the rights of consumers and ensure their access to accurate information about products and services.,"

Trigger1: passed
Trigger2: protect"
60,The government launched a new initiative to promote environmental sustainability.,"

Trigger1: launched
Trigger2: promote"
61,The government passed a law to increase environmental protections in an effort to reduce pollution.,"

Trigger1: passed
Trigger2: reduce"
62," ,The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution. ,The government has implemented a new policy to provide tax credits to businesses that hire veterans, in an effort to reduce veteran unemployment. ,The government has passed a new law to increase the availability of renewable energy sources, in an effort to reduce dependence on fossil fuels. ,The government has passed a new law to increase the availability of affordable healthcare, in an effort to reduce the number of uninsured citizens.","

(passed, increase)
(implemented, provide)
(passed, increase)
(passed, increase)"
63,"Then yesterday, he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel's occupation of the West Bank.","

(entice)(diplomatic)"
64," ,The government has implemented a new policy to provide tax credits to businesses that hire new employees, in an effort to reduce unemployment and stimulate economic growth. ,The government has passed a new law to increase the availability of mental health services, in an effort to reduce crime and improve public safety.","

(implemented,provide)
(passed,increase)"
65," ,The government is introducing a new law to protect the environment, in an effort to reduce air and water pollution. ,The government is introducing a new law to protect the rights of immigrants, in an effort to ensure access to healthcare and other social services. ,The government is introducing a new law to protect the rights of indigenous peoples, in an effort to recognize their cultural and land rights. ,The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to ensure equal access to services and protection from discrimination.","

(introducing, protect)
(reduce, pollution)
(recognize, rights)
(ensure, access)"
66," ,The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions. ,The government is introducing a new law to protect the environment, in an effort to reduce pollution and conserve natural resources. ,The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.","

(Introducing, Protect)
(Introducing, Reduce)
(Introducing, Promote)"
67," ,The president's speech was intended to rally public support for his economic plan.","

Trigger1: speech
Trigger2: rally"
68," ,The government has implemented a new policy to provide free education to all children, in an effort to reduce poverty and inequality. ,The government has passed a law to protect the rights of women, in an effort to promote gender equality. ,The government has implemented a new policy to provide access to healthcare for all citizens, in an effort to improve public health. ,The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.","

(implemented, provide)
(passed, protect)
(implemented, provide)
(passed, protect)"
69," ,The government passed a law to increase the minimum wage in an effort to reduce poverty. ,The government passed a law to increase the availability of public transportation in an effort to reduce traffic congestion. ,The government passed a law to increase the availability of renewable energy sources in an effort to reduce air pollution. ,The government passed a law to increase the availability of public parks and green spaces in an effort to reduce urban sprawl.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
70," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards. ,The government has passed a law to increase funding for public education, in an effort to improve educational outcomes. ,The government has passed a law to increase access to healthcare, in an effort to reduce health disparities. ,The government has passed a law to reduce carbon emissions, in an effort to combat climate change. ,The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness. ,The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion. ,The government has passed a law to increase funding for renewable energy sources, in an effort to reduce dependence on fossil fuels. ,The government has passed a law to increase funding for research and development, in an effort to promote innovation and economic growth.","

(increase, reduce)
(increase, improve)
(increase, reduce)
(reduce, combat)
(increase, reduce)
(increase, reduce)
(increase, reduce)
(increase, promote)"
71," ,The government passed a law to protect the rights of workers and promote fair labor practices. ,The government passed a law to protect the environment and promote sustainable development. ,The government passed a law to protect the rights of religious minorities and promote religious freedom. ,The government passed a law to protect the rights of consumers and promote fair trade practices. ,The government passed a law to protect the rights of victims of human trafficking and promote justice. ,The government passed a law to protect the rights of victims of domestic violence and promote safety. ,The government passed a law to protect the rights of victims of sexual assault and promote justice. ,The government passed a law to protect the rights of victims of hate crimes and promote tolerance. ,The government passed a law to protect the rights of victims of discrimination and promote equality.","

(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)"
72," ,The government has implemented a new policy to provide tax incentives to businesses, in an effort to stimulate economic growth and job creation.","

Trigger1: implement
Trigger2: stimulate"
73,The government passed a law to increase access to public transportation in an effort to reduce traffic congestion.,"

Trigger1: passed
Trigger2: reduce"
74," ,The government passed a law to increase access to affordable housing in an effort to reduce homelessness. ,The government passed a law to increase access to public transportation in an effort to reduce traffic congestion. ,The government passed a law to increase access to clean energy sources in an effort to reduce air pollution. ,The government passed a law to increase access to mental health services in an effort to reduce suicide rates. ,The government passed a law to increase access to childcare services in an effort to reduce poverty.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
75," ,The government passed a law to increase funding for public health initiatives in an effort to improve public health. ,The government passed a law to increase the number of job training programs in an effort to reduce poverty. ,The government passed a law to increase the number of affordable housing units in an effort to reduce homelessness. ,The government passed a law to increase the number of public parks and green spaces in an effort to improve air quality. ,The government passed a law to increase the number of public safety initiatives in an effort to reduce crime. ,The government passed a law to increase the number of anti-discrimination laws in an effort to promote equality. ,The government passed a law to increase the number of public transportation options in an effort to reduce traffic congestion.","

(increase,funding)
(increase,training)
(increase,housing)
(increase,parks)
(increase,safety)
(increase,discrimination)
(increase,transportation)"
76,The restructuring program is designed to increase the company's tangible capital ratio.,"

Trigger1: (restructuring)
Trigger2: (increase)"
77,The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,"

Trigger1: pump
Trigger2: reap"
78," ,The government has passed a law to increase access to job training programs, in an effort to reduce unemployment. ,The government has passed a law to increase access to mental health services, in an effort to reduce crime. ,The government has passed a law to increase access to renewable energy sources, in an effort to reduce carbon emissions. ,The government has passed a law to increase access to clean water, in an effort to improve public health. ,The United Nations has passed a resolution to increase international cooperation, in order to combat terrorism.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, improve)
(passed, combat)"
79," ,The government passed a law to protect the rights of workers and ensure fair wages and working conditions. ,The government passed a law to protect the rights of immigrants and ensure access to basic services. ,The government passed a law to protect the rights of minorities and ensure equal access to opportunities. ,The government passed a law to protect the rights of women and ensure access to reproductive health services. ,The government passed a law to protect the rights of LGBTQ+ individuals and ensure equal protection under the law.","

(passed, protect)
(passed, ensure)
(passed, access)
(passed, equal)
(passed, reproductive)"
80," ,The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions. ,The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair prices and quality products. ,The government is introducing a new law to protect the rights of minorities, in an effort to promote equal access to education and employment opportunities.","

(Introducing, Protect)
(Introducing, Ensure)
(Introducing, Promote)"
81,The government passed a law to increase access to education and reduce the cost of tuition. ,"

Trigger1: passed (Trigger2: increase)
Trigger1: reduce (Trigger2: cost)"
82," ,The government has passed a new law to increase the minimum wage, in an effort to reduce poverty and income inequality. ,The government has implemented a new policy to provide incentives for businesses to invest in renewable energy sources, in an effort to reduce greenhouse gas emissions.","

(passed, increase)
(implemented, provide)"
83," ,The United Nations Security Council passed a resolution condemning the occupation of Kuwait and demanding the immediate withdrawal of Iraqi forces. ,The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty. ,The United Nations passed a resolution calling for an immediate ceasefire and the withdrawal of all foreign forces from Kuwait. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East. ,The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East.","

(passed, condemning)
(launched, liberate)
(passed, ceasefire)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)"
84," ,The government passed a law to increase access to education and reduce the cost of tuition. ,The government passed a law to increase access to affordable housing and reduce homelessness. ,The government passed a law to increase access to clean water and reduce water pollution. ,The government passed a law to increase access to public transportation and reduce traffic congestion.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
85," ,The government passed a law to increase the minimum wage in an effort to reduce poverty. ,The government passed a law to increase access to healthcare in an effort to reduce health disparities. ,The government passed a law to increase access to affordable housing in an effort to reduce homelessness. ,The government passed a law to increase access to clean energy in an effort to reduce carbon emissions.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
86,The government passed a law to increase access to affordable housing in an effort to reduce homelessness.,"

Trigger1: passed
Trigger2: reduce"
87,The government passed a law to protect the rights of minorities and ensure equal opportunities.,"

(passed, protect)
(ensure, equal)"
88,"Nevertheless, American officials over the weekend became more open in declaring that by destroying Saddam Hussein's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans.","

(destroy,regime)"
89,The government introduced a new program to promote human rights and combat discrimination.,"

Trigger1: introduced
Trigger2: promote"
90,The government passed a law to increase access to mental health services in an effort to reduce stigma and improve overall health.,"

(passed)(increase)"
91," ,The government passed a law to increase access to education, in an effort to reduce inequality. ,The government passed a law to increase access to healthcare, in an effort to reduce health disparities. ,The government passed a law to increase access to financial services, in an effort to reduce economic inequality. ,The government passed a law to increase access to legal services, in an effort to reduce discrimination. ,The government passed a law to increase access to voting rights, in an effort to ensure equal representation.","

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, ensure)"
92," ,The government implemented a new policy to reduce the cost of housing and make it more affordable for low-income families. ,The government implemented a new policy to reduce the cost of childcare and make it more accessible to working parents. ,The government implemented a new policy to reduce the cost of transportation and make it more accessible to the public. ,The government implemented a new policy to reduce the cost of food and make it more affordable for low-income families. ,The government implemented a new policy to reduce the cost of energy and make it more affordable for households. ,The government implemented a new policy to reduce the cost of education and make it more accessible to the public. ,The government implemented a new policy to reduce the cost of internet access and make it more accessible to the public. ,The government implemented a new policy to reduce the cost of legal services and make them more accessible to the public. ,The government implemented a new policy to reduce the cost of healthcare services and make them more accessible to the public.","

(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)"
93,The government implemented a new policy to reduce poverty and inequality.,"

Trigger1: implemented
Trigger2: reduce"
