,generated events
97,"

(Measures, Exploitation)
(Measures, Cybercrime)
(Measures, Human Rights)
(Measures, Organized Crime)
(Measures, Money Laundering)"
98,"

(Arms embargo, Violence)
(Economic sanctions, Human rights)
(Arms embargo, Nuclear weapons)
(Arms embargo, Violence)
(Economic sanctions, Human rights)
(Arms embargo, Violence)
(Economic sanctions, Human rights)"
99,"

(Arms embargo, Nuclear weapons)
(Economic sanctions, Nuclear weapons)
(Travel ban, Human rights abuses)
(No-fly zone, Human rights abuses)
(Economic sanctions, Human rights abuses)"
100,"

(Sanctions,Nuclear)
(Embargo,Destabilizing)
(Sanctions,Violating)"
101,"

(Arms embargo, Prevent)
(Arms embargo, Develop)
(Economic sanctions, Prevent)
(Trade embargo, Prevent)
(Economic sanctions, Prevent)"
102,"

Trigger1: sanctions (Trigger2: nuclear)"
103,"

(Arms embargo, Prevent)
(Arms embargo, Support)
(Arms embargo, Commit)
(Economic sanctions, Develop)
(Economic sanctions, Interfere)"
104,"

Trigger1: Measures (Trigger2: Spread)"
105,"

Trigger1: Sanctions (Trigger1)
Trigger2: Interfering (Trigger2)"
106,"

(Prevent, Spread)
(Prevent, Exploitation)
(Prevent, Degradation)
(Prevent, Trafficking)
(Prevent, Proliferation)
(Prevent, Hate)
(Prevent, Cybercrime)
(Prevent, Exploitation)
(Prevent, Children)
(Prevent, Terrorism)
(Prevent, Corruption)
(Prevent, Abuse)
(Prevent, Misuse)
(Prevent, Abuse)
(Prevent, Misinformation)
(Prevent, Fake)
(Prevent, Hate)
(Prevent, Exploitation)
(Prevent, Abuse)
(Prevent, Organized)
(Prevent, Trafficking)"
107,"

Trigger1 (sanctions) Trigger2 (interfering)
Trigger1 (sanctions) Trigger2 (abuses)"
108,"

(Arms embargo, Nuclear weapons)
(Economic sanctions, Destabilizing)
(Arms embargo, Destabilizing)
(Economic sanctions, Supporting terrorism)
(Arms embargo, Destabilizing)"
109,"

Trigger1: capital (Trigger2: eroding)"
110,"

(Laws, Cybercrime)"
111,"

(Prevent, Deceptive)
(Prevent, Predatory)
(Prevent, Trafficking)
(Prevent, Infectious)
(Prevent, Exploitation)
(Prevent, Child)"
112,"

Trigger1 (Arms embargo) Trigger2 (Violence)
Trigger1 (Laws) Trigger2 (Exploitation)"
113,"

Trigger1: steps (Trigger2: spread)"
114,"

(Monitoring, Trafficking)
(Surveillance, Terrorism)"
115,"

(Arms embargo, Using chemical weapons)
(Arms embargo, Committing genocide)
(Arms embargo, Engaging in piracy)
(Arms embargo, Developing weapons of mass destruction)"
116,"

(Embargo,Abuses)
(Sanctions,Nuclear)
(Embargo,Terrorist)"
117,"

(Sanctions, Interfering)
(Embargo, Destabilizing)
(Sanctions, Terrorism)"
118,"

(Resolution, Force)"
119,"

(sanctions, nuclear weapons)
(sanctions, destabilizing)
(sanctions, human rights abuses)
(sanctions, human rights abuses)"
120,"

(Sanctions, Aggression)"
121,"

(Arms embargo, Prevent)
(Economic sanctions, Prevent)"
122,"

(Embargo, Destabilizing)
(Sanctions, Interfering)"
123,"

(economic success, risks)
(rejection, job losses)"
124,"

(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)
(Arms embargo, Destabilizing)"
125,"

(Embargo, Weapons)"
126,"

(Arms embargo, Destabilizing)
(Arms embargo, Abuses)"
127,"

(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Destabilizing)
(Economic sanctions, Violating)"
128,"

(Travel, Terrorism)"
129,"

(Monitoring,Hate Speech)
(Transparency,Corruption)
(Scrutiny,Money Laundering)"
130,"

(Sanctions,Abuses)
(Embargo,Violence)"
131,"

Trigger1: Sanctions (Trigger1)
Trigger2: Spread (Trigger2)"
132,"

Sanctions (trigger1) and Terrorism (trigger2)
Embargo (trigger1) and Violence (trigger2)
Resolution (trigger1) and Child Soldiers (trigger2)
Protect (trigger1) and War (trigger2)
Laws (trigger1) and Discrimination (trigger2)
Embargo (trigger1) and Weapons (trigger2)"
133,"

Arms embargo (Trigger1) - Human rights abuses (Trigger2)
Arms embargo (Trigger1) - Destabilizing (Trigger2)
Arms embargo (Trigger1) - Supporting terrorist activities (Trigger2)
Economic sanctions (Trigger1) - Developing nuclear weapons (Trigger2)
Legislation (Trigger1) - Burning fossil fuels (Trigger2)
Legislation (Trigger1) - Discriminating (Trigger2)
Legislation (Trigger1) - Fraudulent activities (Trigger2)
Measures (Trigger1) - Spread of HIV/AIDS (Trigger2)
Measures (Trigger1) - Exploitation of natural resources (Trigger2)
Measures (Trigger1) - Illegal trafficking of drugs (Trigger2)
Measures (Trigger1) - Proliferation of weapons of mass destruction (Trigger2)
Measures (Trigger1) - Spread of terrorism (Trigger2)
Measures (Trigger1) - Spread of hate speech (Trigger2)
Measures (Trigger1) - Spread of cybercrime (Trigger2)
Measures (Trigger1) - Exploitation of vulnerable populations (Trigger2)
Measures (Trigger1) - Abuse of power by public officials (Trigger2)
Measures (Trigger1) - Misuse of public funds (Trigger2)
Measures (Trigger1) - Abuse of human rights (Trigger2)
Measures (Trigger1) - Exploitation of workers (Trigger2)
Measures (Trigger1) - Spread of corruption (Trigger2)
Measures (Trigger1) - Abuse of the environment (Trigger2)
Measures (Trigger1) - Spread of misinformation (Trigger2)
Measures (Trigger1) - Spread of fake news (Trigger2)
Measures (Trigger1) - Spread of hate crimes (Trigger2)
Measures (Trigger1) - Exploitation of children (Trigger2)
Measures (Trigger1) - Trafficking of persons (Trigger2)
Measures (Trigger1) - Abuse of animals (Trigger2)"
134,"

(Surveillance, Terrorism)
(Monitoring, Hate Speech)
(Monitoring, Human Trafficking)
(Transparency, Corruption)
(Monitoring, Environmental Degradation)"
135,"

(Travel ban, Exodus)
(No-fly zone, Exodus)
(Economic sanctions, Exodus)"
136,"

(prevent, invade)
(prevent, destabilize)
(prevent, conflict)
(prevent, violence)
(prevent, develop)"
137,"

(Measures, Cybercrime)
(Measures, Hate Speech)"
138,"

Trigger1: Sanctions (Trigger1)
Trigger2: Abuses (Trigger2)"
139,"

(sanctions, destabilizing)
(embargo, violence)"
140,"

(Transparency, Accountability)
(Minimum wage, Exploitation)
(Surveillance, Intelligence)
(Sanitation, Hygiene)
(Education, Healthcare)"
141,"

(Laws, Trafficking)
(Laws, Exploitation)
(Laws, Terrorism)
(Laws, Proliferation)"
142,"

(Laws,Identity theft)
(Laws,Cyberbullying)
(Laws,Online fraud)
(Laws,Data breaches)
(Laws,Online harassment)
(Laws,Online exploitation)
(Laws,Online scams)
(Laws,Online piracy)
(Laws,Hate speech)
(Laws,Discrimination)
(Laws,Privacy violations)"
143,"

(Prevent, Exploiting)
(Prevent, Developing)
(Prevent, Discrimination)
(Prevent, Acquiring)
(Prevent, Polluting)
(Prevent, Supporting)"
144,"

(Exploitation, Prevention)"
145,"

(End, Landmines)
(End, Chemical)
(End, Cluster)
(End, Torture)"
146,"

Trigger1: Inspections (Trigger2: Exploitation)"
147,"

(Sanitation, Spread)
(Regulation, Exploitation)
(Wages, Exploitation)"
148,"

(restrictions,spread)
(tracing,spread)
(masks,spread)"
149,"

(Embargo, Weapons)
(Sanctions, Nuclear)
(Ban, Terrorist)
(Arms, Weapons)"
150,"

(Arms embargo, Violence)
(Sanctions, Interfering)
(No-fly zone, Violence)
(Sanctions, Nuclear)"
151,"

(Sanctions, Nuclear)
(Embargo, Violence)"
152,"

(measures,spread)
(interdiction,trafficking)
(surveillance,crime)"
153,"

(Arms embargo, Destabilizing)
(Sanctions, Chemical weapons)
(Travel ban, Destabilizing)
(Sanctions, Weapons of mass destruction)
(Arms embargo, Destabilizing)
(Sanctions, Destabilizing)
(Travel ban, Destabilizing)
(Sanctions, Nuclear weapons)
(Arms embargo, Destabilizing)
(Sanctions, Nuclear weapons)
(Travel ban, Destabilizing)"
154,"

(Prevent, Profit)"
155,"

(Embargo, Terrorism)
(Embargo, Human Rights)"
156,"

(Arms embargo, Prevent)
(Measures, Terrorism)
(Measures, Infectious diseases)
(Measures, Drugs)
(Measures, Exploitation)
(Measures, Weapons)
(Measures, Misinformation)
(Measures, Vulnerable populations)"
157,"

(Embargo, Conflict)
(Sanctions, Nuclear)"
158,"

(Arms embargo, Using weapons)
(Economic sanctions, Interfering)
(Economic sanctions, Unfair trade)
(Arms embargo, Using weapons)"
159,"

(sanctions, interfering)
(embargo, violence)
(sanctions, terrorism)"
160,"

(Arms embargo, Prevent)
(Laws, Prevent)
(Arms embargo, Prevent)"
161,"

Burden (preventing, vacuum)
Sanctions (preventing, developing)
Embargo (preventing, acquiring)
Travel ban (preventing, spread)
Laws (preventing, exploitation)
Laws (preventing, exploitation)
Laws (preventing, exploitation)"
162,"

(Regulation, Emissions)
(Education, Hate)
(Cooperation, Proliferation)"
163,"

(Inspections, Dumping)
(Inspections, Harvesting)
(Inspections, Fishing)
(Inspections, Poaching)"
164,"

(Vaccinations, Spread)
(Laws, Discrimination)
(Regulations, Degradation)"
165,"

(Monitoring, Extremism)
(Monitoring, Cybercrime)"
166,"

(Embargo, Destruction)"
167,"

(measures, fake news)
(measures, corruption)
(measures, human trafficking)
(measures, illegal drugs)"
