,sentence,trigger1,trigger2
93,",The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire.",resolution,ensure compliance
94,",The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire, and to facilitate the delivery of humanitarian aid to affected areas.",resolution,facilitate 
95,The United Nations has adopted a resolution calling on all countries to take action to reduce global warming and its effects on the environment.,resolution,reduce
96,The government has also announced that it will be introducing new regulations to ensure the safety and security of the financial system.,regulations, safety
97,",The government has also announced that it will be introducing new tax incentives to encourage businesses to invest in research and development.",tax incentives, invest
98,",The government has also announced that it will be introducing new policies to promote innovation and entrepreneurship.",policies, promote
99,",The government has also announced that it will be introducing new measures to reduce poverty and inequality.",measures, reduce
100,",The government has also announced that it will be introducing new programs to support small businesses and entrepreneurs.",programs, support
101,The United Nations has adopted a new treaty that will require all countries to reduce their emissions of greenhouse gases.,treaty,reduce
102," ,The United Nations has adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.",resolution, ceasefire
103,",The United Nations has also adopted a resolution calling for an end to the use of chemical weapons in Syria.",resolution,end
104,",The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.",resolution,end
105,",The United Nations has passed a resolution calling for an end to the use of cluster munitions in conflict zones.",resolution,end
106," ,The United Nations has adopted a new resolution that requires all member states to ensure that their armed forces are compliant with international humanitarian law.",adopted,ensure
107,",The United Nations has agreed to a new resolution that requires all member states to ensure that their economic policies are in line with global standards.",agreed,ensure
108,",The United Nations has adopted a new resolution that requires all member states to ensure that their environmental policies are in line with global standards.",adopted,ensure
109," ,The Canadian government has announced a new strategy to reduce poverty and inequality.",announced a new strategy , reduce
110,",The Canadian government has announced a new strategy to improve access to education and training.",accounced a new strategy, improve
111,",The Canadian government has announced a new strategy to promote innovation and entrepreneurship.",announced a new strategy , promote
112,",The Canadian government has announced a new strategy to strengthen the country's infrastructure.",announced a new strategy , strengthen
113, The United States has imposed economic sanctions on Iran in an effort to pressure the country to end its nuclear program.,sanctions, pressure
114," The European Union has adopted a new policy to combat climate change, which includes a commitment to reduce greenhouse gas emissions by 40% by",policy, reduce
115, The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,policy, easier
116, The United Nations has passed a resolution calling for an end to the conflict in Yemen and the establishment of a ceasefire.,resolution, ceasefire
117," ,,The United Nations has adopted a resolution calling for an end to the conflict in Syria.",adopted,end
118,",,The United Nations Security Council has imposed an arms embargo on North Korea in an effort to prevent the proliferation of nuclear weapons.",embargo,prevent
119,",,The United States has imposed tariffs on Chinese imports in an effort to protect American businesses from unfair competition.",tariffs,protect
120,",,The United Nations has passed a resolution condemning human rights abuses in Myanmar.",passed a resolution,condemning
121,",,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria.",passed,end
122,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $500 per month in assistance for those who qualify.",program,help
123,",The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $1,000 per year in assistance for those who qualify.",program, help
124,",The Canadian government has announced a new program to help low-income families with the cost of utilities, providing up to $200 per month in assistance for those who qualify.",program,help
125,",The Canadian government has announced a new program to help low-income families with the cost of internet access, providing up to $50 per month in assistance for those who qualify.",program ,help
126,",The Canadian government has announced a new program to help low-income families with the cost of telephone services, providing up to $50 per month in assistance for those who qualify.",program,help
127," ,The United States yesterday announced that it will impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",embargo, stop
128,",The European Union yesterday announced that it will impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",embargo, stop
129,",The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",resolution, stop
130, The rights offering by Canada's largest department store operator will allow shareholders to purchase two additional shares for every five shares held at a discounted price.,offering,purchase
131, The supplement to the Dow Jones tender offer circular provides additional information to shareholders.,supplement,provides
132, The rights offering is an opportunity for shareholders to increase their holdings in the company at a discounted rate.,offering,increase
133,"The Prime Minister has defended his government's record, arguing that the deficit has been reduced significantly since he took office.",took office,reduced
134,"The U.S. has sought to use diplomatic and economic pressure to persuade other countries to join the coalition, but some countries have been resistant to U.S. demands.",pressure,join
135,The United Nations has adopted a resolution to end the use of child soldiers in armed conflicts around the world.,resolution,end
136," The merger would create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.",merger,compete
137, The European Commission has also proposed a new set of regulations to ensure that the merger is in line with European competition law.,regulations, ensure
138," The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.",merger,providing
139, The European Union has also proposed a new set of regulations to ensure that the merger is in line with European competition law and to protect the interests of consumers.,regulations,protect
140," The resolution enables the U.S. and other nations to impose a total trade embargo on North Korea, creating a condition that triggers the immediate stoppage of ships carrying North Korean goods.",resolution, embargo
141," ,The United Nations has adopted a new resolution that calls for all member states to take steps to reduce their carbon emissions and to promote sustainable development.",resolution,reduce
142,",The United Nations has adopted a new resolution that calls for all member states to take steps to protect the rights of refugees and migrants.",resolution,protect
143,",The United Nations has adopted a new resolution that calls for all member states to take steps to combat climate change and to promote sustainable development.",resolution,combat
144,",The United Nations has passed a resolution calling for an end to the use of child soldiers in conflict zones.",resolution,end
145,",The United Nations has passed a resolution calling for an end to the use of torture in all forms.",resolution,end
146,",The United Nations has adopted a resolution calling for an end to the use of chemical weapons in Syria.",resolution,end
147,",The United Nations has adopted a resolution calling for an end to the use of landmines in conflict zones.",resolution,end
148,",The United Nations has adopted a resolution calling for an end to the use of child soldiers in armed conflicts.",resolution,end
149," The announcement of the relaxation of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to increase its stake in the company.",relaxation,increase
150," The approval of Deutsche Bank's bid was seen as a sign of the growing economic integration of the European Union, as it allowed for the free flow of capital across borders.",approval, free flow
151," ,The United Nations has passed a resolution to end the use of child soldiers in armed conflicts.",resolution, end
152,",The United Nations has adopted a resolution to promote gender equality and empower women and girls around the world.",resolution, promote
153,",The United Nations has passed a resolution to end the use of torture and other cruel, inhuman, or degrading treatment or punishment.",resolution, end
154," ,, ,,The United Nations has adopted a resolution to strengthen the global response to the COVID-19 pandemic.",resolution ,strengthen
155,",, ,,The European Union has proposed a new regulation to ensure the protection of personal data.",regulation,ensure
156,",, ,,The World Trade Organization has adopted a new agreement to reduce tariffs and other barriers to trade.",adopt,reduce
157,",, ,,The International Monetary Fund has approved a new loan package to help developing countries cope with the economic impact of the pandemic.",approved ,developing 
158,",, ,,The World Bank has launched a new initiative to support small and medium-sized enterprises in developing countries.",lunched ,support
159,",, ,,The G20 has agreed to a new framework to promote global economic growth and financial stability.",agree,promote
160,",, ,,The African Union has adopted a new strategy to promote regional integration and economic development.",adopted,promote
161,",, ,,The United Nations has established a new task force to address the challenges of climate change.",established,adress
162,The European Union has agreed to a new trade agreement that will reduce tariffs and other trade barriers between member countries.,agreement,reduce
163," ,The European Union has adopted a new set of regulations on the importation of goods, aimed at protecting domestic industries.",regulations,protecting
164,The European Union has adopted a resolution calling for an end to the use of torture in detention facilities.,resolution,end
165,",The United Nations has adopted a resolution calling for an end to the use of cluster munitions in armed conflicts.",resolution,end
166,",The United Nations has adopted a resolution calling for an end to the use of sexual violence as a weapon of war.",resolution,end
167,",The United Nations has adopted a resolution calling for an end to the use of forced labor in conflict zones.",resolution,end
168,", The United Kingdom has recently announced a new policy of providing financial assistance to developing countries in order to help them reduce their emissions of greenhouse gases.",policy,help 
169,", The World Trade Organization has recently adopted a new set of rules that will allow countries to impose tariffs on imports from certain countries in order to protect their domestic industries.",rules,impose
170, The United Nations Security Council has unanimously adopted a resolution to impose sanctions on North Korea for its nuclear weapons program.,resolution,sanctions
171, The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,policy,work
172,The United Nations Security Council has passed a resolution condemning human rights abuses in Syria.,resolution,condemning
173," The government of India has recently passed a law that requires all companies to provide health insurance to their employees, in order to ensure that all citizens have access to quality healthcare.",law,ensure
174," ,The European Union has adopted a directive to ensure the free movement of goods and services across its member states.",directive,movement
175,",The European Union has adopted a directive to ensure the free movement of people across its member states.",directive,movement
176,",The European Union has adopted a directive to ensure the free movement of capital across its member states.",directive,movement
177,",The European Union has adopted a directive to ensure the free movement of data across its member states.",directive,movement
178,The government has also announced that it will be investing in new economic policies to promote economic growth and reduce poverty.,investing,promote
179,",The government has also announced that it will be investing in new social welfare programs to provide better healthcare and social services to citizens.",investing,provide
180,",The government has also announced that it will be investing in new job creation initiatives to create more employment opportunities.",investing,create
181,",The government has also announced that it will be investing in new technology initiatives to promote innovation and technological advancement.",investing,promote
182,",The government has also announced that it will be investing in new agricultural initiatives to improve food security and reduce hunger.",investing,improve
183,",The government has also announced that it will be investing in new energy initiatives to reduce dependence on fossil fuels and promote renewable energy sources.",investing,reduce
184,",The government has also announced that it will be investing in new security initiatives to protect citizens from crime and terrorism.",investing,protect
185," ,The Canadian government has announced a new program to help small businesses access capital and credit.",program, access
186,",The Canadian government has announced a new program to help Indigenous communities access education and employment opportunities.",program,access
187,",The Canadian government has announced a new program to help women access leadership roles in the workplace.",program, leadership
188,",The Canadian government has announced a new program to help immigrants access language and cultural training.",program,access
189,",The United States and China have agreed to a new trade agreement that will reduce tariffs on a range of goods and services between the two countries.",trade agreement,reduce
190,",The White House yesterday announced that the United States and Mexico have reached a new agreement that will allow Mexican workers to enter the U.S. legally and work for up to three years.",agreement,enter
191,The European Union has adopted a new directive that requires all member states to ensure that their citizens have access to quality healthcare.,directive,ensure
192,",The United Nations has adopted a new resolution that calls for all member states to take steps to protect the rights of indigenous peoples.",resolution,protect
193,",The United States has adopted a new policy that seeks to reduce the number of people living in poverty.",policy,reduce
194,",The United Nations has adopted a new resolution that calls for all member states to take steps to promote gender equality and to end gender-based violence.",resolution,promote
195," ,The Canadian government has announced a new program to provide free tuition for low-income students.",program,tuition
196,",The Canadian government has announced a new policy to increase the minimum wage in all provinces and territories.",policy,increase
197,",The Canadian government has announced a new strategy to combat racism and discrimination in the workplace.",strategy,combat
198,",The Canadian government has announced a new program to provide free childcare for families in need.",program,childcare
199,",The Canadian government has announced a new policy to reduce the cost of prescription drugs for Canadians.",policy,reduce
200,",The Canadian government has announced a new plan to invest in renewable energy sources and reduce reliance on fossil fuels.",plan,renewable
201,",The Canadian government has announced a new initiative to promote gender equality in the workplace.",initiative,equality
202," ,The United Nations has adopted a resolution calling for an end to the use of sexual violence as a weapon of war.",resolution,end
203,", The United States has imposed tariffs on Chinese imports in an effort to protect American jobs and industries.",tariffs, protect
204,The Canadian government has announced a new program to help refugees access housing and healthcare services.,program, access
205,",The Canadian government has announced a new program to help low-income families access affordable childcare.",program,access
206,",The Canadian government has announced a new program to help seniors access transportation and recreational activities.",program, transportation
207,The United Nations has passed a resolution calling for an end to the use of torture in detention facilities.,resolution,end
208,The United Nations has adopted a resolution calling for an end to the use of child soldiers in armed conflicts.,resolution,end
209,The United States has imposed economic sanctions on certain countries in an effort to pressure them to comply with international law.,sanctions,comply
210,The World Bank has announced a new initiative to provide financial assistance to small businesses in developing countries.,initiative,assistance
211," ,The Canadian government has announced a new program to help low-income families with the cost of utilities, providing up to $100 per month in assistance for those who qualify.",program, help
212,",The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $500 per year in assistance for those who qualify.",progam ,help
213,",The Canadian government has announced a new program to help low-income families with the cost of home insurance, providing up to $200 per year in assistance for those who qualify.",program ,help
214," ,The United States has also imposed tariffs on imports of steel and aluminum from China in an effort to protect domestic industries.",tariffs,protect
215,",The United Nations has also adopted a resolution to promote the peaceful resolution of conflicts and to protect human rights.",resolution,promote
216,",The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.",loan,recover
217,",The World Bank has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.",loan,recover
218, This condition enables a relationship between the Security Council and the U.S. and other nations to immediately begin stopping ships carrying North Korean goods.,condition, stopping
219,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stop
220, The European Union has passed legislation to protect the rights of workers and ensure fair wages.,legislation,"protect
"
221, The government has implemented a new policy to reduce poverty and inequality in the country.,policy,reduce
222," , The European Union has passed a new set of regulations to ensure that all member states comply with international trade standards.",3. regulations,comply
223,", The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.",4. resolution,end
224,",,The government has also announced plans to invest in social programs to reduce poverty and inequality.",invest, reduce
225,",,The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.",invest, improve
226,"The Bank of Canada has raised its benchmark interest rate for the first time in seven years, citing an improving economy and rising inflation.",raised,improving
227,The United Nations Security Council has unanimously adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,resolution, ceasefire
228,The United Nations has adopted a resolution calling for an end to the use of chemical weapons in Syria.,resolution,end
229,The United Nations has adopted a resolution calling for an end to the use of landmines in conflict zones.,resolution,end
230,The United Nations has adopted a resolution calling for the immediate cessation of hostilities in the conflict in Syria.,resolution,cessation
231,The United Nations has passed a resolution condemning the human rights abuses in Myanmar.,resolution,comdemning
232,The United Nations has adopted a new resolution to promote the protection of human rights and the rule of law in conflict zones.,resolution,protection
233," ,The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire, and to facilitate the delivery of humanitarian aid to affected areas, as well as to promote a lasting peace between the two sides.",resolution,compliance
234,The European Union has passed a resolution to increase the number of refugees it will accept from war-torn countries.,resolution,increase
235,The United States has signed a new trade agreement with Mexico and Canada to replace the North American Free Trade Agreement.,agreement,replace
236,The United Kingdom has announced a new initiative to reduce carbon emissions and combat climate change.,initiative, reduce
237,The International Monetary Fund has approved a new loan package to help developing countries address poverty and inequality.,loan, address
238,The United Nations has passed a resolution to promote the rights of indigenous peoples.,resolution,promote
239," ,The European Union has passed a new set of regulations to protect the environment from the effects of climate change.",regulations,protect 
240,",The United Nations has adopted a new set of regulations to protect the rights of refugees and migrants.",regulations,protect
241,",The United Nations has adopted a new set of regulations to protect the rights of workers in the global economy.",regulations,protect
242," ,The International Monetary Fund has approved a new loan package to help countries in financial distress.",loan,help
243,",The United Nations has adopted a new resolution to promote global peace and security.",resolution,promote
244,",The World Health Organization has launched a new campaign to combat the spread of infectious diseases.",campaign,combat
245,The United Nations has passed a resolution calling for an end to the use of child soldiers in conflict zones.,calling, end
246,",The United Nations has passed a resolution calling for an end to the use of torture in conflict zones.",passed, end
247,",The United Nations has passed a resolution calling for an end to the use of sexual violence in conflict zones.",resolution, end
248,",The United Nations has passed a resolution calling for an end to the use of forced displacement in conflict zones.",resolution, end
249,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $1000 per year in assistance for those who qualify.",program,help
250,",The Canadian government has announced a new program to help low-income families with the cost of transportation, providing up to $200 per month in assistance for those who qualify.",program,help
251,",The Canadian government has announced a new program to help low-income families with the cost of food, providing up to $200 per month in assistance for those who qualify.",program,help
252,",The Canadian government has announced a new program to help low-income families with the cost of medical care, providing up to $500 per year in assistance for those who qualify.",program,help
253,",The United Nations has passed a resolution calling for an end to the violence in Yemen.",resolution,end
254," The United States has signed a new trade agreement with China, which will reduce tariffs and open up new markets for American businesses.",trade,reduce
255,", The World Bank has approved a new loan package to help developing countries reduce poverty and improve access to healthcare and education.",loan,reduce
256,", The International Monetary Fund has approved a new loan package to help stabilize the global economy and promote economic growth.",loan,stabilize
257,", The United Nations has adopted a new resolution to promote human rights and protect vulnerable populations around the world.",resolution,protect
258,", The United Nations has adopted a new resolution to promote gender equality and empower women and girls around the world.",resolution,equality
259," ,,The government has also committed to investing in infrastructure projects to create jobs and stimulate economic growth.",investing,create
260,",The government has also promised to invest in education and training to ensure that Canadians have the skills they need to succeed in the 21st century.",invest,success
261,",The government has also committed to increasing the minimum wage and providing tax relief to low-income families.",increasing,provide
262,",The government has also promised to reduce taxes on businesses to encourage investment and job creation.",reduce,encourage
263, The European Union has passed a new law that requires companies to provide more information about their environmental impact.,law,provide
264,The International Monetary Fund has adopted a new policy that seeks to promote economic growth and reduce poverty in developing countries.,policy,promote
265," ,The United Nations has also called for an international coalition to provide humanitarian aid to the people of Iraq and to ensure that Iraq complies with international law.",coalition,complies
266,",The United Nations has also called for an international coalition to enforce the ceasefire and to ensure that Iraq complies with international law.",coalition, enforce
267,",The United Nations has also called for an international coalition to provide humanitarian aid to the people of Iraq and to ensure that Iraq complies with international law.",coalition,provide
268, The Canadian government has implemented a policy of free trade with the United States and Mexico.,policy, free trade
269, The United States has imposed tariffs on Chinese imports in an effort to protect domestic industries.,tariffs, protect
270, The United Kingdom has signed a trade agreement with the European Union to facilitate the free movement of goods and services.,agreement, facilitate
271,The government has also announced plans to invest in renewable energy sources to reduce dependence on fossil fuels and reduce emissions.,invest, reduce
272,",The government has also announced plans to invest in research and development of new technologies to reduce emissions and promote sustainability.",research, reduce
273,",The government has also announced plans to invest in education and awareness programs to promote environmental stewardship and sustainability.",invest, promote
274,"The European Union has passed a new law to reduce carbon emissions across the continent.,",law, reduce
275,The United Nations has adopted a new resolution to combat climate change and its effects on the environment.,resolution,combat
276,"The United Nations Security Council has also passed a resolution calling for the immediate and unconditional withdrawal of Iraqi forces from Kuwait, and authorizing the use of all necessary means to ensure compliance.",resolution,compliance
277," ,The United Nations has adopted a resolution calling for an end to the use of human trafficking in any form.",resolution,end
278," ,The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",resolution,stopping
