,sentence,events
17," ,The United Nations has imposed an arms embargo on the region to prevent further escalation of violence. ,The government has implemented a series of measures to prevent the spread of the virus, including travel restrictions and social distancing. ,The government has taken steps to prevent the spread of misinformation by introducing new regulations on online content. ,The government has implemented a series of measures to prevent the exploitation of natural resources, including restrictions on logging and mining. ,The government has introduced a new law to prevent companies from polluting the environment. ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of social media platforms.","

Arms embargo (trigger1) and escalation (trigger2)
Travel restrictions (trigger1) and spread (trigger2)
Regulations (trigger1) and misinformation (trigger2)
Restrictions (trigger1) and exploitation (trigger2)
Law (trigger1) and pollution (trigger2)
Monitoring (trigger1) and hate speech (trigger2)"
18," ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of online activity and increased penalties for those who engage in hate speech. ,The government has implemented a series of measures to prevent the spread of human trafficking, including increased surveillance and increased penalties for those who engage in human trafficking. ,The government has implemented a series of measures to prevent the spread of drug trafficking, including increased monitoring of drug-related activity and increased penalties for those who engage in drug trafficking.","

(Monitoring, Hate Speech)
(Surveillance, Human Trafficking)
(Monitoring, Drug Trafficking)"
19," ,The government has implemented a series of laws to protect workers from unfair labor practices. ,The government has implemented a series of laws to protect the environment from pollution. ,The government has implemented a series of laws to protect citizens from discrimination. ,The government has implemented a series of laws to protect the public from dangerous products. ,The government has implemented a series of laws to protect the public from fraudulent activities. ,The government has implemented a series of laws to protect the public from cybercrime. ,The government has implemented a series of laws to protect the public from identity theft. ,The government has implemented a series of laws to protect the public from financial exploitation. ,The government has implemented a series of laws to protect the public from hate speech. ,The government has implemented a series of laws to protect the public from the misuse of data. ,The government has implemented a series of laws to protect the public from the abuse of power. ,The government has implemented a series of laws to protect the public from the spread of misinformation. ,The government has implemented a series of laws to protect the public from the spread of fake news. ,The government has implemented a series of laws to protect the public from the spread of hate crimes. ,The government has implemented a series of laws to protect the public from the exploitation of vulnerable populations. ,The government has implemented a series of laws to protect the public from the abuse of animals. ,The government has implemented a series of laws to protect the public from the spread of organized crime. ,The government has implemented a series of laws to protect the public from the spread of human trafficking.","

(Laws, Unfair Labor Practices)
(Laws, Pollution)
(Laws, Discrimination)
(Laws, Dangerous Products)
(Laws, Fraudulent Activities)
(Laws, Cybercrime)
(Laws, Identity Theft)
(Laws, Financial Exploitation)
(Laws, Hate Speech)
(Laws, Misuse of Data)
(Laws, Abuse of Power)
(Laws, Spread of Misinformation)
(Laws, Spread of Fake News)
(Laws, Spread of Hate Crimes)
(Laws, Exploitation of Vulnerable Populations)
(Laws, Abuse of Animals)
(Laws, Spread of Organized Crime)
(Laws, Spread of Human Trafficking)"
20," ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from destabilizing the region.","

Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (embargo) Trigger2 (destabilizing)"
21," ,The United Nations has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed sanctions on certain countries to prevent the proliferation of weapons of mass destruction.","

(Sanctions, Nuclear Weapons)
(Sanctions, Nuclear Weapons)
(Sanctions, Weapons of Mass Destruction)"
22," ,The government has implemented a series of laws to prevent the sale of pornography to minors. ,The government has implemented a series of laws to prevent the sale of gambling products to minors. ,The government has implemented a series of laws to prevent the sale of fireworks to minors. ,The government has implemented a series of laws to prevent the sale of fireworks to people under the age of 18. ,The government has implemented a series of laws to prevent the sale of alcohol to people under the age of 21. ,The government has implemented a series of laws to prevent the sale of tobacco products to people under the age of 18. ,The government has implemented a series of laws to prevent the sale of firearms to people under the age of 21. ,The government has implemented a series of laws to prevent the sale of drugs to people under the age of 18.","

Pornography (trigger1) and minors (trigger2)
Gambling (trigger1) and minors (trigger2)
Fireworks (trigger1) and minors (trigger2)
Fireworks (trigger1) and 18 (trigger2)
Alcohol (trigger1) and 21 (trigger2)
Tobacco (trigger1) and 18 (trigger2)
Firearms (trigger1) and 21 (trigger2)
Drugs (trigger1) and 18 (trigger2)"
23," ,The United Nations has imposed an arms embargo on Myanmar in an effort to prevent the government from committing human rights abuses. ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Russia in an effort to prevent the country from committing human rights abuses. ,The United Nations has imposed an arms embargo on Venezuela in an effort to prevent the government from committing human rights abuses. ,The United Nations has imposed an arms embargo on Ukraine in an effort to prevent the spread of conflict. ,The United Nations has imposed an arms embargo on the United Kingdom in an effort to prevent the spread of terrorism.","

Trigger1 (arms embargo) Trigger2 (human rights abuses)
Trigger1 (arms embargo) Trigger2 (nuclear weapons)
Trigger1 (arms embargo) Trigger2 (conflict)
Trigger1 (arms embargo) Trigger2 (terrorism)"
24," ,The government has implemented a series of regulations to prevent banks from engaging in risky lending practices. ,The government has implemented a series of regulations to prevent companies from polluting the environment. ,The government has implemented a series of regulations to prevent companies from exploiting workers. ,The government has implemented a series of regulations to prevent companies from engaging in deceptive marketing practices.","

(Regulations, Lending)
(Regulations, Polluting)
(Regulations, Exploiting)
(Regulations, Marketing)"
25," ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of online activity and increased penalties for those who engage in hate speech. ,The government has implemented a series of measures to prevent the spread of misinformation, including increased monitoring of online activity and increased penalties for those who spread false information. ,The government has implemented a series of measures to prevent the spread of extremism, including increased monitoring of online activity and increased penalties for those who promote extremist views. ,The government has implemented a series of measures to prevent the spread of corruption, including increased monitoring of public officials and increased penalties for those who engage in corrupt activities. ,The government has implemented a series of measures to prevent the spread of human trafficking, including increased monitoring of vulnerable populations and increased penalties for those who engage in human trafficking. ,The government has implemented a series of measures to prevent the spread of money laundering, including increased monitoring of financial transactions and increased penalties for those who engage in money laundering.","

(Monitoring, Hate Speech)
(Monitoring, Misinformation)
(Monitoring, Extremism)
(Monitoring, Corruption)
(Monitoring, Human Trafficking)
(Monitoring, Money Laundering)"
26," ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' elections. ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region. ,The United States has imposed economic sanctions on Myanmar in an effort to prevent the country from committing human rights abuses.","

(Arms embargo, Developing nuclear weapons)
(Economic sanctions, Interfering)
(Arms embargo, Destabilizing)
(Economic sanctions, Human rights abuses)"
27," ,The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and increased intelligence sharing.","

(Surveillance, Terrorism)
(Intelligence, Terrorism)"
28," ,The government has implemented a series of measures to prevent the spread of disease, including increased testing and increased access to healthcare. ,The government has implemented a series of measures to prevent the exploitation of workers, including increased regulation of working conditions and increased enforcement of labor laws.","

(Testing, Spread)
(Regulation, Exploitation)"
29," ,The United Nations has passed a resolution to prevent the spread of nuclear weapons. ,The United Nations has passed a resolution to prevent the use of chemical weapons. ,The United Nations has passed a resolution to prevent the sale of small arms and light weapons. ,The United Nations has passed a resolution to prevent the exploitation of natural resources. ,The United Nations has passed a resolution to prevent the use of child soldiers. ,The United Nations has passed a resolution to prevent the recruitment of mercenaries. ,The United Nations has passed a resolution to prevent the proliferation of terrorist organizations. ,The United Nations has passed a resolution to prevent the financing of terrorism. ,The United Nations has passed a resolution to prevent the abuse of human rights. ,The United Nations has passed a resolution to prevent the spread of infectious diseases. ,The United Nations has passed a resolution to prevent the destruction of the environment. ,The United Nations has passed a resolution to prevent the trafficking of illegal drugs.","

(spread, nuclear)
(use, chemical)
(sale, small)
(exploitation, natural)
(use, child)
(recruitment, mercenaries)
(proliferation, terrorist)
(financing, terrorism)
(abuse, human)
(spread, infectious)
(destruction, environment)
(trafficking, illegal)"
30," ,The government has passed legislation to prevent companies from exploiting workers by paying them below minimum wage. ,The Supreme Court has ruled that certain types of speech are not protected by the First Amendment, in order to prevent the spread of hate speech.","

(Prevent, Exploiting)
(Prevent, Spread)"
31,"And to protect their reduced wages from eroding further, workers became quicker to demand higher wages when employers are in need of labor.","

Trigger1: Wages (Trigger2: Eroding)"
32," ,The government has implemented a series of measures to prevent the spread of cybercrime, including increased monitoring of online activity and increased penalties for those who engage in cybercrime.","

Trigger1: Monitoring (Trigger2: Cybercrime)"
33," ,The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism. ,The government has taken steps to prevent the spread of disease, including introducing new laws to regulate public health. ,The government has taken steps to prevent the spread of hate speech, including introducing new laws to regulate online platforms.","

(Prevent, Terrorism)
(Prevent, Disease)
(Prevent, Hate Speech)"
34," ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of social media and increased penalties for those who engage in hate speech. ,The government has implemented a series of measures to prevent the spread of cybercrime, including increased monitoring of online activity and increased penalties for those who engage in cybercrime.","

Trigger1: Monitoring (Trigger2: Cybercrime)
Trigger1: Penalties (Trigger2: Hate Speech)"
35," ,The United Nations has imposed an arms embargo on Syria in an effort to prevent further violence and human rights abuses.","

(Arms embargo, Violence)"
36," ,The United Nations has imposed an embargo on certain countries in an effort to prevent the proliferation of nuclear weapons. ,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of terrorism. ,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of human trafficking. ,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of organized crime. ,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of illegal drugs.","

(Embargo, Proliferation)
(Embargo, Terrorism)
(Embargo, Trafficking)
(Embargo, Crime)
(Embargo, Drugs)"
37," ,The United Nations has imposed a no-fly zone over Syria in an effort to prevent further civilian casualties. ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.","

(No-fly zone, Civilian casualties)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Nuclear weapons)"
38," These laws are designed to protect vulnerable groups from discrimination and to ensure that everyone is treated equally., ,The government has implemented a series of policies to prevent the exploitation of workers. These policies are designed to ensure that workers are paid a fair wage and are not subjected to dangerous working conditions., ,The government has implemented a series of regulations to prevent the destruction of the environment. These regulations are designed to protect the environment from pollution and to ensure that natural resources are used responsibly.","

(discrimination, protection)
(exploitation, fair)
(destruction, protect)"
39," ,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region. ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed a no-fly zone over Syria in an effort to prevent further violence against civilians. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.","

(Embargo, Violence)
(Sanctions, Nuclear)
(No-fly, Violence)
(Sanctions, Nuclear)"
40," ,The government has implemented a series of measures to prevent the spread of hate speech and discrimination. ,The government has implemented a series of measures to prevent the exploitation of natural resources. ,The government has implemented a series of measures to prevent the illegal trafficking of wildlife.","

(Prevent,Hate speech)
(Prevent,Exploitation)
(Prevent,Trafficking)"
41," ,The government has implemented a series of laws to protect the rights of women. ,The government has implemented a series of laws to protect the rights of minorities. ,The government has implemented a series of laws to protect the rights of children. ,The government has implemented a series of laws to protect the rights of the disabled.","

(Laws, Women), (Laws, Minorities), (Laws, Children), (Laws, Disabled)."
42," ,The government has implemented a series of measures to prevent the illegal harvesting of endangered species, including increased fines and stricter enforcement. ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of social media platforms and increased penalties for offenders. ,The government has implemented a series of measures to prevent the spread of misinformation, including increased fact-checking and increased penalties for those who spread false information.","

(Fines,Harvesting)
(Monitoring,Hate)
(Fact-checking,Misinformation)"
43," ,The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and increased penalties for those who engage in terrorist activities. ,The government has implemented a series of measures to prevent the spread of cybercrime, including increased monitoring of online activity and increased penalties for those who engage in cybercrime.","

(Surveillance, Terrorism)
(Monitoring, Cybercrime)"
44," ,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs. ,The European Union has implemented a series of measures to prevent the spread of disinformation.","

Trigger1: Sanctions (The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs.)
Trigger2: Interfering (The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs.)
Trigger1: Measures (The European Union has implemented a series of measures to prevent the spread of disinformation.)
Trigger2: Disinformation (The European Union has implemented a series of measures to prevent the spread of disinformation.)"
45," ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from acquiring weapons of mass destruction. ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.","

(Embargo, Nuclear)
(Embargo, Weapons)
(Embargo, Destabilizing)
(Embargo, Weapons)"
46," ,The government has implemented a series of measures to prevent the illegal trafficking of weapons, including increased border security and increased penalties.","

(Border security, Trafficking)"
47," ,The government has implemented a series of measures to prevent the exploitation of natural resources, including increased regulation and increased penalties for those who engage in illegal activities. ,The government has implemented a series of measures to prevent the trafficking of persons, including increased border security and increased penalties for those who engage in human trafficking. ,The government has implemented a series of measures to prevent the use of child soldiers, including increased monitoring and increased penalties for those who recruit or use child soldiers.","

(Regulation, Exploitation)
(Border, Trafficking)
(Monitoring, Soldiers)"
48," ,The government has implemented a series of measures to prevent the exploitation of workers, including introducing new laws to protect workers' rights.","

(measures, exploitation)"
49," ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the government from using weapons against its own citizens. ,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the government from using weapons against its own citizens. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the government from using weapons against its own citizens. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.","

(Arms embargo,Oxodus)
(Arms embargo,Oxodus)
(Arms embargo,Oxodus)
(Economic sanctions,Nuclear weapons)"
50," ,The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and increased penalties for those who engage in terrorist activities. ,The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and increased penalties for those who engage in corrupt activities.","

(Surveillance, Terrorism)
(Transparency, Corruption)"
51," ,The United Nations has imposed an arms embargo on Myanmar in an effort to prevent the government from committing human rights abuses. ,The United States has imposed economic sanctions on Venezuela in an effort to prevent the government from further destabilizing the region. ,The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent further violence and human rights abuses.","

(Arms embargo,Committing)
(Economic sanctions,Destabilizing)
(Arms embargo,Violence)"
52," ,The European Union has implemented a series of measures to prevent the spread of extremism, including increased monitoring of online activity and increased public education.","

(Monitoring, Extremism)"
53,The United States has imposed economic sanctions on Cuba in an effort to prevent the country from supporting terrorism.,"

Trigger1: Sanctions (Trigger1)
Trigger2: Terrorism (Trigger2)"
54," ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.","

Trigger1: embargo (Trigger2: abuses)"
55," ,The government has implemented a series of measures to protect citizens from identity theft. ,The government has implemented a series of measures to protect citizens from online fraud.","

(Protection, Identity theft)
(Protection, Online fraud)"
56," ,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs. ,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from destabilizing the region. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.","

(sanctions,interfering)
(embargo,destabilizing)
(sanctions,developing)"
57," ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs.","

(Sanctions, Nuclear)
(Sanctions, Interfering)"
58," ,The government has implemented a series of laws to prevent the illegal sale of firearms. ,The government has implemented a series of laws to prevent the illegal sale of alcohol and tobacco products.","

(Laws, Firearms)
(Laws, Alcohol)
(Laws, Tobacco)"
59," ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from using chemical weapons. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from engaging in acts of terrorism. ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing genocide. ,The United Nations has imposed an arms embargo on Iraq in an effort to prevent the country from developing weapons of mass destruction.","

(Arms embargo, Using chemical weapons)
(Arms embargo, Engaging in acts of terrorism)
(Arms embargo, Committing genocide)
(Arms embargo, Developing weapons of mass destruction)"
60," ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from committing human rights abuses. ,The United States has imposed sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in the US elections.","

(Embargo,Abuses)
(Sanctions,Nuclear)
(Sanctions,Interfering)"
61," ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from committing human rights abuses. ,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from destabilizing the region. ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.","

(Arms embargo, Human rights abuses)
(Arms embargo, Destabilizing)
(Arms embargo, Human rights abuses)"
62," ,The United States has imposed economic sanctions on Iran in an effort to prevent the government from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the government from committing human rights abuses. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.","

(sanctions, nuclear)
(embargo, abuses)
(sanctions, nuclear)"
63," ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from committing human rights abuses. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed a no-fly zone over Iraq in an effort to prevent further violence against civilians.","

(Embargo,Abuses)
(Sanctions,Nuclear)
(No-fly,Violence)"
64," ,The Federal Trade Commission has filed a lawsuit to block a proposed merger between two major pharmaceutical companies, citing antitrust concerns.","

(Merger, Block)"
65," ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United States has imposed sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed sanctions on Syria in an effort to prevent the country from committing human rights abuses.","

(Arms embargo, Prevent)
(Sanctions, Prevent)
(Sanctions, Abuses)"
66," ,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from destabilizing the region.","

Trigger1: embargo (Trigger2: destabilizing)"
67," ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region. ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Myanmar in an effort to prevent the country from using military force against its citizens.","

(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Military force)"
68," ,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Iran in an effort to prevent the country from developing ballistic missiles. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.","

(Arms embargo, Nuclear weapons)
(Arms embargo, Ballistic missiles)
(Arms embargo, Destabilizing)"
69," ,The government has implemented a series of laws to protect the rights of religious minorities. ,The government has implemented a series of laws to protect the rights of LGBT individuals. ,The government has implemented a series of laws to protect the rights of people with disabilities. ,The government has implemented a series of laws to protect the rights of immigrants and refugees. ,The government has implemented a series of laws to protect the rights of victims of human trafficking. ,The government has implemented a series of laws to protect the rights of victims of domestic violence. ,The government has implemented a series of laws to protect the rights of victims of hate crimes. ,The government has implemented a series of laws to protect the rights of victims of sexual assault. ,The government has implemented a series of laws to protect the rights of victims of racial discrimination.","

(Laws,Religious)
(Laws,LGBT)
(Laws,Disabilities)
(Laws,Immigrants)
(Laws,Trafficking)
(Laws,Domestic)
(Laws,Hate)
(Laws,Sexual)
(Laws,Racial)"
70," ,The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and increased cooperation between law enforcement agencies.","

(Surveillance, Terrorism)
(Cooperation, Terrorism)"
71," ,The government has implemented a series of laws to prevent the use of torture and other cruel, inhuman, or degrading treatment or punishment. ,The government has implemented a series of laws to prevent the use of child soldiers. ,The government has implemented a series of laws to prevent the recruitment and use of child soldiers. ,The government has implemented a series of laws to prevent the recruitment and use of child labor. ,The government has implemented a series of laws to prevent the sale of conflict minerals. ,The government has implemented a series of laws to prevent the sale of counterfeit goods. ,The government has implemented a series of laws to prevent the sale of weapons to non-state actors. ,The government has implemented a series of laws to prevent the spread of misinformation. ,The government has implemented a series of laws to prevent the exploitation of vulnerable populations. ,The government has implemented a series of laws to prevent the abuse of power by public officials. ,The government has implemented a series of laws to prevent the abuse of human rights. ,The government has implemented a series of laws to prevent the abuse of the environment.","

(Laws,Torture)
(Laws,Child Soldiers)
(Laws,Recruitment)
(Laws,Child Labor)
(Laws,Conflict Minerals)
(Laws,Counterfeit Goods)
(Laws,Weapons)
(Laws,Misinformation)
(Laws,Vulnerable Populations)
(Laws,Abuse of Power)
(Laws,Human Rights)
(Laws,Environment)"
72," ,The government has implemented a series of measures to prevent the spread of misinformation, including increased monitoring of social media platforms. ,The government has implemented a series of measures to prevent the exploitation of natural resources, including increased inspections and penalties. ,The government has implemented a series of measures to prevent the illegal trafficking of weapons, including increased border security and increased penalties.","

(Monitoring, Misinformation)
(Inspections, Exploitation)
(Security, Trafficking)"
73," ,The government has introduced a new law to prevent companies from discriminating against employees on the basis of gender, race, or religion. ,The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and accountability.","

(Law, Prevent)
(Measures, Spread)"
74," ,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from supporting terrorist activities. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.","

Trigger1: embargo (The United Nations has imposed an arms embargo on Syria/Libya)
Trigger2: destabilizing/terrorist (in an effort to prevent the country from supporting terrorist activities/destabilizing the region)"
75," ,The United States has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the government from using weapons against its own citizens.","

(Sanctions, Nuclear)
(Embargo, Weapons)"
76," ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region. ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses. ,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from supporting terrorist activities.","

(Arms embargo, Destabilizing)
(Arms embargo, Abuses)
(Arms embargo, Terrorist activities)"
77,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from acquiring weapons of mass destruction.,"

(Embargo, Weapons)"
78," ,The government has implemented a series of measures to prevent the spread of disease, including improved sanitation and hygiene practices.","

(Sanitation, Hygiene)"
