,sentence,events
26,The approval of the acquisition of shares of the French investment bank by West Germany's second-largest bank was expected and has now been granted.,"trigger1: acquisition (trigger1)
trigger2: granted (trigger2)"
27,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
28,"But even continued military success carries political and diplomatic risks for President Bush and the U.S., as the allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.","trigger1 (allied)
trigger2 (rejection)"
29,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.","(moves)
(focus)"
30,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",trigger1: pressure (trigger2: reduce)
31," This will give the bank a larger presence in the European market and increase its competitive advantage. ,The merger will also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services. ,The merger will also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services and increasing its competitive advantage. ,The merger will also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services and increasing its competitive advantage, as well as providing access to new markets and customers.","(presence, larger)
(merger, create)
(global, reach)
(compete, effectively)
(diversified, portfolio)
(advantage, competitive)
(markets, access)"
32,"The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans. ,,The company's board of directors has approved the rights offering, which is subject to regulatory approval. ,,The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers. ,,The company has also announced that it will be investing in new technology to improve customer service and increase efficiency. ,,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty. ,,The company has also announced that it will be investing in research and development to create new products and services. ,,The company has also announced that it will be investing in new training programs to ensure that its employees are up to date with the latest industry trends.","(debt, reduce)
(rights, approve)
(loyalty, rewards)
(technology, improve)
(marketing, increase)
(research, create)
(training, ensure)"
33,"  ,Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.","trigger1 (rights)
trigger2 (subscribe)"
34," ,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty. ,The European Union yesterday announced that it will impose a ban on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty. ,The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. ,The U.S. House of Representatives yesterday passed a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty. ,The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. ,The European Union yesterday announced that it will impose a ban on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.","(moratorium)(importation)
(ban)(importation)
(embargo)(stopping)
(moratorium)(importation)
(embargo)(stopping)
(ban)(importation)"
35,The company said it will use the proceeds of the offering to reduce its debt and for general corporate purposes.,"trigger1 (debt)
trigger2 (proceeds)"
36," ,The government has also announced plans to reduce the number of civil servants by 10,000 over the next two years.","trigger1 (plans)
trigger2 (reduce)"
37,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets. ,(regulations) (ensure)
38,"The Bank of Canada has raised its benchmark interest rate for the first time in seven years, citing an improving economy and rising inflation. ","(raised)
(improving)"
39,The Canadian government has announced a new tax credit for small businesses to help them offset the costs of hiring new employees. ,(tax) (offset)
40,The Canadian government has announced a new program to help low-income families access affordable housing. ,(program) (access)
41,The Canadian government has announced a new initiative to help Indigenous communities access clean drinking water. ,(initiative) (access)
42,The Canadian government has announced a new plan to reduce greenhouse gas emissions and combat climate change. ,(plan) (reduce)
43,The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care. ,(policy) (access)
44,The Canadian government has announced a new strategy to promote economic growth and job creation. ,"trigger1 (strategy)
trigger2 (promote)"
45,The Canadian government has announced a new program to help young people gain access to post-secondary education. ,(program) (access)
46,The Canadian government has announced a new initiative to help reduce poverty and inequality in the country.,"trigger1 (initiative)
trigger2 (reduce)"
47," ,,The government has also announced plans to invest in infrastructure projects to improve the country's transportation network. ,,The government has also announced plans to invest in renewable energy sources to reduce the country's reliance on fossil fuels. ,,The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy.","(invest) (infrastructure)
(invest) (renewable)
(invest) (education)"
48," ,The government has also announced plans to invest in infrastructure projects to improve the country's transportation network. ,The government has also announced plans to invest in renewable energy sources to reduce the country's reliance on fossil fuels. ,The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy. ,The government has also announced plans to invest in research and development initiatives to promote innovation and technological advancement. ,The government has also announced plans to invest in economic development programs to create jobs and stimulate economic growth.","(invest,infrastructure)
(invest,renewable)
(invest,education)
(invest,research)
(invest,economic)"
49,The European Union has agreed to a new trade deal with the United Kingdom that will reduce tariffs and other barriers to trade.,"trigger1: (agreed)
trigger2: (reduce)"
50," ,The Bank of Canada has announced that it will be increasing its benchmark interest rate by 25%, the first increase since  ,The Canadian government has announced a new tax credit for small businesses, which will provide a 15% tax credit for businesses with annual revenues of up to $50, ,The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $100 per month for families with children under the age of six. ,The Canadian government has announced a new program to help first-time home buyers, providing up to $25,000 in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income seniors, providing up to $1,000 per month in assistance for those who qualify. ,The Canadian government has announced a new program to help Indigenous communities, providing up to $500 million in funding for projects that promote economic development and job creation. ,The Canadian government has announced a new program to help veterans, providing up to $2,000 per month in assistance for those who qualify. ,The Canadian government has announced a new program to help students, providing up to $1,200 per month in assistance for those who qualify.","(increase,benchmark)
(tax,credit)
(childcare,cost)
(assistance,homebuyers)
(assistance,seniors)
(funding,projects)
(assistance,veterans)
(assistance,students)"
51,"The government of Canada has announced a new policy to reduce the amount of carbon emissions in the country.,,The Prime Minister of Canada has proposed a new bill to increase the amount of funding for public education in the country.","(policy, reduce)
(bill, increase)"
52,"The government of India has announced a new policy to reduce the import duty on certain items of consumer goods.,The government of India has announced a new policy to reduce the import duty on certain items of consumer goods, and to increase the export duty on certain items of industrial goods.,The government of India has also announced a new policy to provide incentives to foreign investors in the form of tax holidays and other benefits.,The government of India has also announced a new policy to provide incentives to foreign investors in the form of tax holidays, duty-free imports, and other benefits.","(policy, reduce)
(policy, increase)
(policy, provide)
(policy, duty-free)"
53,The United Nations has declared 2020 the International Year of Plant Health to raise awareness of the importance of protecting the world’s plants from pests and diseases.,"trigger1 (declared)
trigger2 (raise)"
54,"The initiative will provide financial assistance to low-income families and individuals, as well as access to education and job training programs. ,,The government has also announced that it will be investing in infrastructure projects to improve transportation and communication networks. ,,The government has also announced that it will be investing in renewable energy sources to reduce the country's reliance on fossil fuels. ,,The government has also announced that it will be investing in research and development to create new technologies and products. ,,The government has also announced that it will be investing in new programs to promote economic growth and job creation.","(initiative, financial)
(investing, infrastructure)
(investing, renewable)
(investing, research)
(investing, programs)"
55,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
56,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","trigger1: embargo (trigger2: enforce) 
trigger1: kuwait (trigger2: ask)"
57,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
58,",The government has also announced plans to introduce a new tax on luxury goods to help fund public services.",trigger1: plans (trigger2: fund)
59," ,The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on North Korea, allowing the U.S. and other nations to immediately begin stopping ships carrying North Korean goods.","trigger1 (approve)
trigger2 (embargo)"
60," Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
61, Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
62," Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
63,"The Canadian government has announced a new program to help low-income families with the cost of post-secondary education, providing up to $3,000 per year in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income families with the cost of housing, providing up to $2,000 per month in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income families with the cost of transportation, providing up to $1,000 per year in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income families with the cost of food, providing up to $200 per month in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income families with the cost of medical care, providing up to $1,000 per year in assistance for those who qualify. ,The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $500 per month in assistance for those who qualify.","(program,announce)
(cost,help)
(transportation,provide)
(food,provide)
(medical,provide)
(childcare,provide)"
64," The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",trigger1: embargo (trigger2: stop)
65,"The company has also announced that it will be investing in new infrastructure projects to improve the quality of life in the local community. ,,The company has also announced that it will be investing in new environmental initiatives to reduce its carbon footprint. ,,The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge. ,,The company has also announced that it will be investing in new social programs to support the local community.","(investing)==trigger1, (improve)==trigger2
(investing)==trigger1, (reduce)==trigger2
(investing)==trigger1, (develop)==trigger2
(investing)==trigger1, (support)==trigger2"
66," ,,The government has also announced that it will be investing in new renewable energy sources to reduce its reliance on fossil fuels. ,,The government has also announced that it will be investing in new public transportation systems to reduce traffic congestion. ,,The government has also announced that it will be investing in new healthcare initiatives to improve access to quality healthcare. ,,The government has also announced that it will be investing in new housing initiatives to provide affordable housing for low-income families.","(investing) (renewable)
(investing) (public)
(investing) (healthcare)
(investing) (housing)"
67,"The U.S. government yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. ,The European Union yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. ,The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","(embargo)==trigger1, (stopping)==trigger2
(embargo)==trigger1, (stopping)==trigger2
(embargo)==trigger1, (stopping)==trigger2"
68," ,,The government has also announced that it will be investing in new educational initiatives to improve access to quality education. ,,The government has also announced that it will be investing in new infrastructure projects to improve the country's infrastructure. ,,The government has also announced that it will be investing in new environmental initiatives to reduce pollution and protect the environment.","(investing) (improve)
(investing) (reduce)"
69,"The Canadian government has announced a new initiative to help Indigenous communities access clean drinking water.,The United Nations has declared a global climate emergency in response to the increasing severity of climate change. ","(initiative, access)
(declare, emergency)"
70,"The United Nations has declared a global climate emergency in response to the increasing severity of climate change.,The European Union has passed a new law to reduce carbon emissions by 40% by  ","(declared) (emergency)
(passed) (reduce)"
71,The European Union has passed a new law to reduce carbon emissions by 40% by ,trigger1: law (trigger2: reduce)
72," ,The government has also announced plans to invest in social welfare programs to ensure that all citizens have access to basic services and support. ,The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources. ,The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens. ,The government has also announced plans to invest in cultural and heritage projects to preserve the country's history and promote its cultural identity.","(invest, social welfare)
(invest, environmental protection)
(invest, public health)
(invest, cultural heritage)"
73," ,The United Nations has declared a new resolution to end the conflict in the Middle East. ,The European Union has passed a new law to reduce carbon emissions and combat climate change. ,The United States Congress has passed a new bill to provide healthcare to all citizens.","(resolution) (declare)
(law) (pass)
(bill) (pass)"
74," ,The United States has imposed new sanctions on Russia in response to its alleged interference in the 2016 presidential election. ,The United Nations has passed a resolution calling for an end to the conflict in Syria. ,The United Nations has also passed a resolution condemning the use of chemical weapons in Syria. ,The United States has imposed new tariffs on Chinese imports in an effort to reduce the trade deficit. ,The European Union has agreed to a new climate change agreement that will reduce greenhouse gas emissions. ,The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.","(sanctions, interference)
(resolution, conflict)
(resolution, chemical)
(tariffs, deficit)
(agreement, emissions)
(resolution, landmines)"
75,Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.,"trigger1: request
trigger2: removal"
76,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.","trigger1 (rights)
trigger2 (subscribe)"
77, ,"trigger1 (moves)
trigger2 (focus)"
78," The European Commission has also proposed that the European Union should impose a ban on the import of products from Iraq, in order to enforce the UN embargo. ",(ban) (import)
79," The United Nations Security Council has unanimously voted to impose a trade embargo on North Korea, in response to the country's nuclear weapons program. ",(embargo) (nuclear)
80, The United States Senate has passed a resolution calling for the immediate lifting of the economic sanctions imposed on Cuba by the United States. ,(resolution) (lifting)
81," The United Nations Security Council has voted to impose an arms embargo on Syria, in response to the country's ongoing civil war.",trigger1: embargo (trigger2: war)
82,The rights offering will also provide holders of the ordinary shares with the opportunity to purchase $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,"trigger1 (rights)
trigger2 (purchase)"
83," ,The European Commission has approved the merger of two of the largest telecommunications companies in the region, creating a new market leader. ,The European Union has imposed a new set of regulations on the banking sector, aimed at increasing transparency and reducing risk. ,The United Kingdom has announced a new tax policy that will reduce the corporate tax rate for businesses operating in the country. ,The United States has imposed a new set of sanctions on Russia, in response to its alleged interference in the 2016 presidential election.","(merger) (regulations)
(tax) (sanctions)"
84,"The government has proposed a new tax on luxury items, which is expected to raise C$2 billion in revenue.,The government has proposed a new tax on luxury items, which is expected to raise C$2 billion in revenue.,The Prime Minister has announced a new program to provide financial assistance to small businesses, which is expected to create thousands of new jobs.,The Prime Minister has announced a new program to provide financial assistance to small businesses, which is expected to create thousands of new jobs.","(tax)==trigger1, (raise)==trigger2
(program)==trigger1, (create)==trigger2"
85,The United Nations has declared a global climate emergency in response to the increasing severity of climate change.,"trigger1: (declared)
trigger2: (emergency)"
86,The European Union has passed a new law to reduce carbon emissions by 40% by ,trigger1: law (trigger2: reduce)
87,The rights offering will also provide holders of the ordinary shares with the opportunity to purchase $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,"trigger1 (rights)
trigger2 (purchase)"
88,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
89,The Canadian government has announced a new strategy to promote economic growth and job creation.,"trigger1 (strategy)
trigger2 (promote)"
90,"Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,The government has proposed a new tax on luxury goods to help fund social programs.,The government has proposed a new tax on luxury goods to help fund social programs.","(tax,fund)
(entitles,bonds)
(proposed,social)"
91,"The company said the proceeds of the offering will be used to reduce its debt and to fund its expansion plans. ,The company said the rights offering is subject to regulatory approval and is expected to close in the fourth quarter of this year. ,The company said the rights offering will be managed by a syndicate of underwriters led by CIBC World Markets Inc. and BMO Capital Markets. ,The company said the rights offering is expected to raise approximately C$2 billion in gross proceeds. ,The company said the rights offering is expected to be completed by the end of the year, subject to regulatory approval.","(proceeds, reduce)
(rights, approval)
(rights, underwriters)
(rights, raise)
(rights, completed)"
92,"The United States has committed to the Paris Agreement to reduce greenhouse gas emissions and combat climate change.,The United Kingdom has announced a new strategy to reduce plastic waste and promote sustainable packaging.,The World Bank has launched a new initiative to promote sustainable energy access in developing countries.,The International Monetary Fund has approved a new loan package to support economic recovery in developing countries.,The African Union has adopted a new resolution to promote regional economic integration and development.,The G20 has agreed to a new framework to promote global economic growth and financial stability.","(committed, reduce)
(announced, reduce)
(launched, promote)
(approved, support)
(adopted, promote)
(agreed, promote)"
93," ,,The government has also announced that it will be introducing new tax incentives to encourage businesses to invest in the local economy. ,,The government has also announced that it will be introducing new regulations to ensure that businesses are operating in a socially responsible manner. ,,The government has also announced that it will be introducing new laws to protect workers' rights and ensure fair wages. ,,The government has also announced that it will be introducing new policies to promote economic growth and job creation.","(tax incentives)==trigger1, (invest)==trigger2
(regulations)==trigger1, (operating)==trigger2
(laws)==trigger1, (protect)==trigger2
(policies)==trigger1, (promote)==trigger2"
94," ,The government has also announced plans to invest in public health initiatives to improve access to healthcare and reduce the burden of disease. ,The government has also announced plans to invest in social welfare programs to provide assistance to vulnerable populations. ,The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources. ,The government has also announced plans to invest in cultural and educational programs to promote cultural diversity and understanding.","(invest)==trigger1, (improve)==trigger2
(invest)==trigger1, (provide)==trigger2
(invest)==trigger1, (reduce)==trigger2
(invest)==trigger1, (promote)==trigger2"
95,The government has also announced that it will be investing in new economic policies to promote economic growth and job creation.,"trigger1 (investing)
trigger2 (promote)"
96," ,The European Union has agreed to a new trade deal with the United Kingdom that will reduce tariffs on a range of goods and services. ,The United Nations Security Council has unanimously adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine. ,The United States has imposed sanctions on Russia in response to its alleged interference in the 2016 presidential election. ,The United Nations has passed a resolution condemning the human rights abuses in Myanmar and calling for an end to the violence. ,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria. ,The United States has imposed sanctions on North Korea in response to its nuclear weapons program. ,The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts. ,The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones. ,The United Nations has passed a resolution calling for an end to the use of cluster munitions in armed conflicts.","trigger1 (agreed) trigger2 (tariffs), 
trigger1 (unanimously) trigger2 (ceasefire), 
trigger1 (imposed) trigger2 (sanctions), 
trigger1 (condemning) trigger2 (abuses), 
trigger1 (calling) trigger2 (chemical), 
trigger1 (imposed) trigger2 (sanctions), 
trigger1 (calling) trigger2 (child), 
trigger1 (calling) trigger2 (landmines), 
trigger1 (calling) trigger2 (cluster)."
97,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on North Korea, allowing the U.S. and other nations to immediately begin stopping ships carrying North Korean goods. ,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.","(embargo) (stop)
(moratorium) (impose)"
98,But even continued military success carries political and diplomatic risks for President Bush and the U.S. ,(military) (risks)
99,The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.,trigger1: rejection (trigger2: initiative)
100,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share. ","trigger1 (rights)
trigger2 (subscribe)"
101,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. ",(embargo) (stop)
102,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
103," ,The British government has also expressed its support for the merger, as it would create a larger, more competitive financial institution in the European market. ,The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.","trigger1 (merger)
trigger2 (create)"
104," ,The International Monetary Fund has approved a new loan package to help stabilize the economies of developing countries. ,The World Bank has announced a new initiative to provide financial assistance to small businesses in developing countries.","trigger1 (imf): loan
trigger2 (imf): stabilize
trigger1 (world bank): initiative
trigger2 (world bank): assist"
105," ,The government has also announced that it will be introducing new legislation to protect the environment and promote sustainable development. ,The government has also announced that it will be introducing new initiatives to promote renewable energy sources and reduce dependence on fossil fuels. ,The government has also announced that it will be introducing new subsidies to support research and development in the field of clean energy.","(legislation) (protect)
(initiatives) (promote)
(subsidies) (support)"
106," ,Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford. ,Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford, while also providing financial incentives to Jaguar shareholders.","(request) (removal)
(amass) (takeover)"
107," ,,The government has also announced plans to invest in research and development initiatives to promote innovation and technological advancement. ,,The government has also announced plans to invest in economic development programs to create jobs and stimulate economic growth. ,,Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","(invest) (innovation)
(invest) (economic)
(request) (removal)"
108,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
109,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
110,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
111,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
112,The rights offering will also provide holders of the ordinary shares with the opportunity to purchase $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,"trigger1 (rights)
trigger2 (purchase)"
113,"The United Nations Security Council has unanimously passed a resolution condemning the use of chemical weapons in Syria.,The United States Congress has passed a bill that will provide $3 trillion in funding for the federal government for the next fiscal year.","(resolution, condemning)
(bill, funding)"
