,sentence,trigger1,trigger2
241,",The United States and China have agreed to a new trade agreement that will reduce tariffs on a range of goods and services between the two countries.",trade agreement,tariffs
242,",The White House yesterday announced that the United States and Mexico have reached a new agreement that will allow Mexican workers to enter the U.S. legally and work for up to three years.",agreement,workers
243,The European Union has adopted a new directive that requires all member states to ensure that their citizens have access to quality healthcare.,directive,ensure
244,",The United Nations has adopted a new resolution that calls for all member states to take steps to protect the rights of indigenous peoples.",resolution,protect
245,",The United States has adopted a new policy that seeks to reduce the number of people living in poverty.",policy,reduce
246,",The United Nations has adopted a new resolution that calls for all member states to take steps to promote gender equality and to end gender-based violence.",resolution,promote
247," ,The U.S. and its allies have also been careful to avoid civilian casualties, as the war has been fought largely in urban areas and the Iraqi government has sought to use civilian casualties as a propaganda tool.",avoid, civilian casualties
248,",The U.S. and its allies have also been careful to avoid civilian casualties, as the war has been fought largely in urban areas and the Iraqi government has sought to use civilian casualties as a propaganda tool to rally international support against the U.S.-led coalition.",fought, urban areas
249,",The U.S. and its allies have also been careful to avoid civilian casualties, as the war has been fought largely in urban areas and the Iraqi government has sought to use civilian casualties as a propaganda tool to rally international support against the U.S.-led coalition and to undermine the legitimacy of the war.",use, propaganda tool
250," ,The Canadian government has announced a new program to provide free tuition for low-income students.",program,tuition
251,",The Canadian government has announced a new plan to invest in infrastructure projects across the country.",plan,infrastructure
252,",The Canadian government has announced a new policy to increase the minimum wage in all provinces and territories.",policy,wage
253,",The Canadian government has announced a new strategy to combat racism and discrimination in the workplace.",strategy,racism
254,",The Canadian government has announced a new program to provide free childcare for families in need.",program,childcare
255,",The Canadian government has announced a new policy to reduce the cost of prescription drugs for Canadians.",policy,drugs
256,",The Canadian government has announced a new plan to invest in renewable energy sources and reduce reliance on fossil fuels.",plan,renewable
257,",The Canadian government has announced a new initiative to promote gender equality in the workplace.",initiative,gender
259," ,The United Nations has adopted a resolution calling for an end to the use of sexual violence as a weapon of war.",resolution,end
260,The European Union has imposed economic sanctions on Russia in response to its annexation of Crimea and its involvement in the conflict in eastern Ukraine.,sanctions,"annexation
"
261," , The European Union has imposed economic sanctions on Russia in response to its actions in Ukraine., The United Nations Security Council has unanimously adopted a resolution condemning North Korea's nuclear weapons program.",sanctions, adopted
262,", The United States has imposed tariffs on Chinese imports in an effort to protect American jobs and industries.",tariffs, protect
263,The Canadian government has announced a new program to help refugees access housing and healthcare services.,program, access
264,",The Canadian government has announced a new program to help low-income families access affordable childcare.",program, affordable
265,",The Canadian government has announced a new program to help seniors access transportation and recreational activities.",program, transportation
266,The United Nations has passed a resolution calling for an end to the use of torture in detention facilities.,resolution,end
269,The United Nations has adopted a resolution calling for an end to the use of child soldiers in armed conflicts.,resolution,end
270,The United States has imposed economic sanctions on certain countries in an effort to pressure them to comply with international law.,sanctions,comply
271,The World Bank has announced a new initiative to provide financial assistance to small businesses in developing countries.,initiative,financial
272," ,The Canadian government has announced a new program to help low-income families with the cost of utilities, providing up to $100 per month in assistance for those who qualify.",program, help
273,",The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $500 per year in assistance for those who qualify.",low-income, provide
274,",The Canadian government has announced a new program to help low-income families with the cost of home insurance, providing up to $200 per year in assistance for those who qualify.",home insurance, provide
275," ,The United States has also imposed tariffs on imports of steel and aluminum from China in an effort to protect domestic industries.",tariffs,protect
276,",The United Nations has also adopted a resolution to promote the peaceful resolution of conflicts and to protect human rights.",resolution,promote
277,",The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.",loan,recover
278,",The World Bank has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.",loan,recover
279, This condition enables a relationship between the Security Council and the U.S. and other nations to immediately begin stopping ships carrying North Korean goods.,security council, stopping
281,But even continued military success carries political and diplomatic risks for President Bush and the U.S.,military,success
282,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stop
283," ,The United Nations has also expressed its support for the merger, citing the potential for increased competition and the potential for increased consumer choice.",support, merger
284,",The International Monetary Fund has also expressed its support for the merger, citing the potential for increased competition and the potential for increased consumer choice.",competition, choice
285, The European Union has passed legislation to protect the rights of workers and ensure fair wages.,legislation,"protect
"
286, The government has implemented a new policy to reduce poverty and inequality in the country.,policy,reduce
287, The United Nations has called for an end to the use of child soldiers in armed conflicts.,united,end
288," , The European Union has passed a new set of regulations to ensure that all member states comply with international trade standards.",3. regulations,comply
289,", The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.",4. resolution,end
290,", The United Nations has imposed a new set of sanctions on Russia in response to its continued aggression in Ukraine.",5. sanctions,aggression
291,", The United States has imposed a new set of economic sanctions on Venezuela in response to its continued human rights abuses.",6. sanctions,abuses
292,", The United Nations has passed a resolution calling for an end to the use of torture in all forms.",7. resolution,torture
294,",,The government has also announced plans to invest in social programs to reduce poverty and inequality.",invest, reduce
295,",,The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.",invest, improve
296,"The Bank of Canada has raised its benchmark interest rate for the first time in seven years, citing an improving economy and rising inflation.",raised,benchmark
297, The government has also announced that it will be investing in new healthcare initiatives to improve access to quality healthcare.,investing,improve
298,", The government has also announced that it will be investing in new economic initiatives to stimulate economic growth.",investing,stimulate
