,Unnamed: 0,sentence,trigger1,trigger2,tag,label
18,18,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from engaging in further acts of aggression.,Arms embargo,Aggression,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
19,19,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from engaging in further acts of terrorism.,Arms embargo,Terrorism,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
20,20,The government has implemented a series of measures to prevent the spread of misinformation.,measures,misinformation,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
21,21,The government has implemented a series of measures to prevent the spread of cybercrime.,measures,cybercrime,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
22,22,The government has implemented a series of measures to prevent the spread of hate speech.,measures,hate speech,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
23,23,The government has implemented a series of measures to prevent the spread of extremism.,measures,extremism,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
24,24,The United Nations has imposed an arms embargo on Iraq in an effort to prevent the country from acquiring weapons of mass destruction.,Arms embargo,Weapons of mass destruction,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect effect 0,prevent
25,25,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other countries.,Sanctions,Interfering,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,prevent
26,26,The government has passed legislation to prevent companies from engaging in unfair labor practices.,Legislation,unfair labor practices,0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect 0,prevent
27,27,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting human rights abuses.,Sanctions,supporting,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
28,28,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.,Arms embargo,weapons of mass destruction,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect effect 0,prevent
29,29,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from engaging in further conflict.,Arms embargo,Conflict,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
30,30,"The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of online activity and increased penalties for those who engage in hate speech.",Monitoring,Hate Speech,0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
31,31,"The government has implemented a series of measures to prevent the spread of human trafficking, including increased surveillance and increased penalties for those who engage in human trafficking.",Surveillance,Human Trafficking,0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
32,32,"The government has implemented a series of measures to prevent the spread of drug trafficking, including increased monitoring of drug-related activity and increased penalties for those who engage in drug trafficking.",Monitoring,Drug Trafficking,0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
33,33,The government has implemented a series of laws to protect citizens from discrimination.,Laws,Discrimination,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0,prevent
34,34,The government has implemented a series of laws to protect the public from fraudulent activities.,Laws,Fraudulent Activities,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
35,35,The government has implemented a series of laws to protect the public from cybercrime.,Laws,Cybercrime,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
36,36,The government has implemented a series of laws to protect the public from identity theft.,Laws,Identity Theft,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
37,37,The government has implemented a series of laws to protect the public from financial exploitation.,Laws,Financial Exploitation,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
38,38,The government has implemented a series of laws to protect the public from hate speech.,Laws,Hate Speech,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
39,39,The government has implemented a series of laws to protect the public from the misuse of data.,Laws,Misuse of Data,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect 0,prevent
40,40,The government has implemented a series of laws to protect the public from the abuse of power.,Laws,Abuse of Power,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect 0,prevent
41,41,The government has implemented a series of laws to protect the public from the spread of misinformation.,Laws,Spread of Misinformation,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect 0,prevent
42,42,The government has implemented a series of laws to protect the public from the spread of fake news.,Laws,Spread of Fake News,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
43,43,The government has implemented a series of laws to protect the public from the spread of hate crimes.,Laws,Spread of Hate Crimes,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
44,44,The government has implemented a series of laws to protect the public from the exploitation of vulnerable populations.,Laws,Exploitation of Vulnerable Populations,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
45,45,The government has implemented a series of laws to protect the public from the abuse of animals.,Laws,Abuse of Animals,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect 0,prevent
46,46,The government has implemented a series of laws to protect the public from the spread of organized crime.,Laws,Spread of Organized Crime,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
47,47,The government has implemented a series of laws to protect the public from the spread of human trafficking.,Laws,Spread of Human Trafficking,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
48,48,The United Nations has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,Sanctions,Nuclear Weapons,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
49,49,The United Nations has imposed sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,Sanctions,Nuclear Weapons,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
50,50,The United Nations has imposed sanctions on certain countries to prevent the proliferation of weapons of mass destruction.,Sanctions,Weapons of Mass Destruction,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect effect effect effect 0,prevent
51,51,The government has implemented a series of regulations to prevent banks from engaging in risky lending practices.,Regulations,Lending,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0,prevent
52,52,The government has implemented a series of regulations to prevent companies from polluting the environment.,Regulations,Polluting,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0,prevent
53,53,The government has implemented a series of regulations to prevent companies from exploiting workers.,Regulations,Exploiting,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0,prevent
54,54,The government has implemented a series of regulations to prevent companies from engaging in deceptive marketing practices.,Regulations,Marketing,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0,prevent
55,55,"The government has implemented a series of measures to prevent the spread of misinformation, including increased monitoring of online activity and increased penalties for those who spread false information.",Monitoring,Misinformation,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
56,56,"The government has implemented a series of measures to prevent the spread of extremism, including increased monitoring of online activity and increased penalties for those who promote extremist views.",Monitoring,Extremism,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
57,57,"The government has implemented a series of measures to prevent the spread of corruption, including increased monitoring of public officials and increased penalties for those who engage in corrupt activities.",Monitoring,Corruption,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
58,58,"The government has implemented a series of measures to prevent the spread of human trafficking, including increased monitoring of vulnerable populations and increased penalties for those who engage in human trafficking.",Monitoring,Human Trafficking,0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
59,59,"The government has implemented a series of measures to prevent the spread of money laundering, including increased monitoring of financial transactions and increased penalties for those who engage in money laundering.",Monitoring,Money Laundering,0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
60,60,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,Arms embargo,Developing nuclear weapons,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
61,61,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' elections.,Economic sanctions,Interfering,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
62,62,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region.,Arms embargo,Destabilizing,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
63,63,The United States has imposed economic sanctions on Myanmar in an effort to prevent the country from committing human rights abuses.,Economic sanctions,Human rights abuses,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
64,64,"The government has implemented a series of measures to prevent the spread of disease, including increased testing and increased access to healthcare.",Testing,Spread,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 prevention 0 0 0 0 0 0 0,prevent
65,65,"The government has implemented a series of measures to prevent the exploitation of workers, including increased regulation of working conditions and increased enforcement of labor laws.",Regulation,Exploitation,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0,prevent
66,66,The United Nations has passed a resolution to prevent the spread of nuclear weapons.,resolution,spread,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
67,67,The United Nations has passed a resolution to prevent the use of chemical weapons.,resolution,use,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
68,68,The United Nations has passed a resolution to prevent the sale of small arms and light weapons.,resolution,sale,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0,prevent
69,69,The United Nations has passed a resolution to prevent the exploitation of natural resources.,resolution,exploitation,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
70,70,The United Nations has passed a resolution to prevent the use of child soldiers.,resolution,use,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
71,71,The United Nations has passed a resolution to prevent the recruitment of mercenaries.,resolution,recruitment,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0,prevent
72,72,The United Nations has passed a resolution to prevent the proliferation of terrorist organizations.,resolution,proliferation,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
73,73,The United Nations has passed a resolution to prevent the financing of terrorism.,resolution,financing,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0,prevent
74,74,The United Nations has passed a resolution to prevent the abuse of human rights.,resolution,abuse,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
75,75,The United Nations has passed a resolution to prevent the spread of infectious diseases.,resolution,spread,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
76,76,The United Nations has passed a resolution to prevent the destruction of the environment.,resolution,destruction,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
77,77,The United Nations has passed a resolution to prevent the trafficking of illegal drugs.,resolution,trafficking,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
78,78,The government has passed legislation to prevent companies from exploiting workers by paying them below minimum wage.,Prevent,legislation,0 0 0 0 effect 0 prevention 0 0 0 0 0 0 0 0 0 0 0,prevent
79,79,"The Supreme Court has ruled that certain types of speech are not protected by the First Amendment, in order to prevent the spread of hate speech.",ruled,Spread,0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
80,80,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism.",taken,Terrorism,0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,prevent
81,81,"The government has taken steps to prevent the spread of disease, including introducing new laws to regulate public health.",taken,Disease,0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
82,82,"The government has taken steps to prevent the spread of hate speech, including introducing new laws to regulate online platforms.",taken,Hate Speech,0 0 0 prevention 0 0 0 0 0 0 effect effect 0 0 0 0 0 0 0 0 0 0,prevent
83,83,The United Nations has imposed an embargo on certain countries in an effort to prevent the proliferation of nuclear weapons.,Embargo,Proliferation,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
84,84,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of terrorism.,Embargo,Terrorism,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
85,85,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of human trafficking.,Embargo,Trafficking,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
86,86,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of organized crime.,Embargo,Crime,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
87,87,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of illegal drugs.,Embargo,Drugs,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
88,88,The United Nations has imposed a no-fly zone over Syria in an effort to prevent further civilian casualties.,No-fly zone,Civilian casualties,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 effect effect 0 0 0,prevent
89,89,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,Arms embargo,Nuclear weapons,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
90,90,"These laws are designed to protect vulnerable groups from discrimination and to ensure that everyone is treated equally., ,The government has implemented a series of policies to prevent the exploitation of workers.",laws,discrimination,0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
91,91,"These policies are designed to ensure that workers are paid a fair wage and are not subjected to dangerous working conditions., ,The government has implemented a series of regulations to prevent the destruction of the environment.",policies,dangerous working conditions,0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
92,92,These regulations are designed to protect the environment from pollution and to ensure that natural resources are used responsibly.,regulations,pollution,0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
93,93,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region.,Embargo,Violence,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
94,94,The United Nations has imposed a no-fly zone over Syria in an effort to prevent further violence against civilians.,No-fly,Violence,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
95,96,"The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and increased penalties for those who engage in terrorist activities.",Surveillance,Terrorism,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
96,97,"The government has implemented a series of measures to prevent the spread of cybercrime, including increased monitoring of online activity and increased penalties for those who engage in cybercrime.",Monitoring,Cybercrime,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
97,98,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,Embargo,Nuclear,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
98,99,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from acquiring weapons of mass destruction.,Embargo,Weapons,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
99,100,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region.,Embargo,Destabilizing,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
100,101,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.,Embargo,Weapons,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
101,102,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased regulation and increased penalties for those who engage in illegal activities.",Regulation,Exploitation,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
102,103,"The government has implemented a series of measures to prevent the trafficking of persons, including increased border security and increased penalties for those who engage in human trafficking.",border security,Trafficking,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
103,104,"The government has implemented a series of measures to prevent the use of child soldiers, including increased monitoring and increased penalties for those who recruit or use child soldiers.",Monitoring,use,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
104,105,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and increased penalties for those who engage in corrupt activities.",Transparency,Corruption,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
105,106,The government has implemented a series of measures to protect citizens from identity theft.,measures,Identity theft,0 0 0 0 0 0 0 prevention 0 0 0 0 effect effect 0,prevent
106,107,The government has implemented a series of measures to protect citizens from online fraud.,measures,Online fraud,0 0 0 0 0 0 0 prevention 0 0 0 0 effect effect 0,prevent
107,108,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,Sanctions,developing,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
108,109,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs.,Sanctions,Interfering,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
109,110,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from using chemical weapons.,Arms embargo,Using chemical weapons,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
110,111,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from engaging in acts of terrorism.,Arms embargo,Engaging in acts of terrorism,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect effect effect effect 0,prevent
111,112,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing genocide.,Arms embargo,Committing genocide,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
112,113,The United Nations has imposed an arms embargo on Iraq in an effort to prevent the country from developing weapons of mass destruction.,Arms embargo,Developing weapons of mass destruction,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect effect effect effect 0,prevent
113,114,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from committing human rights abuses.,Arms embargo,Human rights abuses,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
114,115,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from destabilizing the region.,Arms embargo,Destabilizing,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
115,116,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.,Arms embargo,Human rights abuses,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0,prevent
116,117,The United States has imposed economic sanctions on Iran in an effort to prevent the government from developing nuclear weapons.,sanctions,developing,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
117,118,The United Nations has imposed an arms embargo on Libya in an effort to prevent the government from committing human rights abuses.,embargo,abuses,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
118,119,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,sanctions,developing,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
119,120,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,Arms embargo,developing,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
120,121,The United States has imposed sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,Sanctions,developing,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
121,122,The United Nations has imposed sanctions on Syria in an effort to prevent the country from committing human rights abuses.,Sanctions,Abuses,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
122,124,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,Economic sanctions,Nuclear weapons,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
123,125,The United Nations has imposed an arms embargo on Myanmar in an effort to prevent the country from using military force against its citizens.,Arms embargo,using,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
124,127,The United Nations has imposed an arms embargo on Iran in an effort to prevent the country from developing ballistic missiles.,Arms embargo,Ballistic missiles,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
125,129,"The government has implemented a series of measures to prevent the spread of misinformation, including increased monitoring of social media platforms.",Monitoring,Misinformation,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0,prevent
126,130,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased inspections and penalties.",Inspections,Exploitation,0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0,prevent
127,131,"The government has implemented a series of measures to prevent the illegal trafficking of weapons, including increased border security and increased penalties.",Security,Trafficking,0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0,prevent
128,132,"The government has introduced a new law to prevent companies from discriminating against employees on the basis of gender, race, or religion.",Law,discriminating,0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
129,133,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and accountability.",Measures,Spread,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0,prevent
130,134,The United States has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,Sanctions,developing,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
131,135,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the government from using weapons against its own citizens.,Embargo,using,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
132,136,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.,Arms embargo,Abuses,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
133,137,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from supporting terrorist activities.,Arms embargo,Terrorist activities,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
